product_id,product_price,product_desc,tokens,lemma,vector
10 13058,0.0,YouTube YouTube YouTube Organic Cotton TShirt  Grey ,"['YouTube', 'YouTube', 'YouTube', 'Organic', 'Cotton', 'TShirt', 'Grey']","['youtube', 'youtube', 'youtube', 'organic', 'cotton', 'tshirt', 'grey']"," 0.18368035,-0.20987667,-0.10170467,-0.49936082, 0.66901401,-0.19808816,
  0.10318833,-0.13821833, 0.21743999,-0.01187566, 0.03293502,-0.31390333,
  0.16866499,-0.57935836, 0.55130333, 0.04448433, 0.49698833,-0.23905784,
  0.36264361, 0.12301167, 0.03364667,-0.01062166, 0.55369001, 0.297815  ,
  0.13984667, 0.15022834, 0.446585  , 0.22822333,-0.112545  , 0.17048833,
  0.31251   , 0.80103152, 0.3307565 ,-0.22186168, 0.1530695 , 0.20713583,
 -0.25924667, 0.052215  ,-0.37374404,-0.09246   , 0.29980001, 0.24739832,
 -0.36494167, 0.17327333,-0.23895   ,-0.13104333,-0.61904667,-0.00302166,
  0.32575833,-0.63834002, 0.17497833,-0.22858833, 0.14269316, 0.255468  ,
 -0.39967001,-1.28700666,-0.41192483,-0.20182832, 0.94834582,-0.05076759,
 -0.21357582, 0.69398834,-0.003156  , 0.06865   , 0.87268667, 0.23690434,
  0.59661452,-0.326835  , 0.32170499,-0.17049501, 0.29428632, 0.42307268,
  0.40974718, 0.01455267,-0.32516999, 0.29458334, 0.1588    ,-0.06944833,
 -0.02263833, 0.20135799, 0.17021334,-0.33524665, 0.10304834, 0.29656833,
 -0.54095266,-0.43873001, 0.02713568,-0.08353166, 0.02105166, 0.40632167,
 -0.00494667,-0.10133498,-0.30088216,-0.28875999,-0.04548333,-0.42021832,
 -0.42694516,-0.22779316, 0.21037333, 0.19286666"
10 13097,0.0,YouTube YouTube YouTube Player TShirt  Unisex ,"['YouTube', 'YouTube', 'YouTube', 'Player', 'TShirt', 'Unisex']","['youtube', 'youtube', 'youtube', 'player', 'tshirt', 'unisex']"," 0.59319802,-0.13793203, 0.15410081,-0.41260399, 0.58662201, 0.306324  ,
  0.129054  ,-0.155904  , 0.62664199, 0.082796  , 0.33823202,-0.0713166 ,
  0.11576081,-0.82848004, 0.478248  , 0.2054888 , 0.377308  ,-0.15977   ,
 -0.00663028, 0.30965601,-0.068686  ,-0.0338798 , 0.17177541, 0.647566  ,
  0.20777001,-0.2639512 , 0.2700974 , 0.61475539, 0.31432399, 0.023706  ,
  0.31479201, 1.02335201, 0.17847399, 0.19788439, 0.44296601, 0.081373  ,
 -0.48203399,-0.07559399,-0.69079999,-0.386208  , 0.53483799, 0.81278798,
  0.084898  , 0.37536359,-0.127186  , 0.13916799,-0.319038  ,-0.20879399,
  0.34682   ,-0.45815421, 0.2630114 ,-0.1590226 ,-0.0143348 , 0.2586732 ,
 -0.15654401,-1.45117396,-0.387892  ,-0.29133998, 0.67812598, 0.22361998,
 -0.37878399, 0.59793   , 0.03141406, 0.150844  , 0.65661001, 0.32554001,
  0.57031101,-0.14318201, 0.04235599, 0.031356  , 0.29020599, 0.44753601,
  0.43594002,-0.0476864 ,-0.41502799, 0.45426121, 0.10851   ,-0.136906  ,
  0.139944  ,-0.224949  , 0.27608439,-0.75361598, 0.43524201,-0.0332164 ,
 -0.686402  ,-0.31019202,-0.084732  , 0.1514102 , 0.067848  ,-0.047024  ,
 -0.213624  , 0.52574581,-0.130886  ,-0.4070018 , 0.33803621,-0.23032799,
 -0.378788  ,-0.1784025 , 0.36917361, 0.43002599"
10 14133,0.0,Mens Outerwear YouTube YouTube Ultimate Hooded Sweatshirt  YouTube YouTube YouTube Ultimate Hooded Sweatshirt ,"['Mens', 'Outerwear', 'YouTube', 'YouTube', 'Ultimate', 'Hooded', 'Sweatshirt', 'YouTube', 'YouTube', 'YouTube', 'Ultimate', 'Hooded', 'Sweatshirt']","['men', 'outerwear', 'youtube', 'youtube', 'ultimate', 'hooded', 'sweatshirt', 'youtube', 'youtube', 'youtube', 'ultimate', 'hooded', 'sweatshirt']"," 4.76077775e-01,-2.91349241e-01, 2.41626224e-01,-4.79636914e-01,
  5.06085391e-01, 3.69063846e-01, 8.26912305e-02,-3.83225381e-02,
  1.92470764e-01, 1.62099873e-01, 3.58932319e-01,-4.01259658e-03,
  4.27340760e-01,-5.22498486e-01, 3.18608458e-01, 4.41901556e-02,
  4.07144073e-01,-2.41153079e-01, 1.44089689e-01,-1.48417686e-01,
  2.42133850e-01,-3.00531841e-01, 2.45550772e-01, 3.21017534e-01,
  3.93182314e-01, 2.17276835e-01,-2.86132206e-02, 2.48909227e-01,
  9.98688855e-02,-4.74315462e-02, 6.14066693e-01, 3.17757006e-01,
 -2.31253853e-01, 7.63395546e-02, 2.03752311e-01,-6.77634621e-02,
 -4.50842110e-01, 1.04341440e-01,-2.04611456e-01, 9.48777015e-02,
  3.74865697e-01, 5.67900410e-01, 8.58070150e-04, 2.81378151e-01,
 -4.90685841e-01, 4.00859651e-02,-1.14402920e-01, 5.12557706e-02,
  1.19000302e-01,-2.55058470e-01, 5.16970754e-02,-2.33093540e-01,
  5.99072004e-02, 5.05266919e-01,-2.24658005e-01,-1.15727153e+00,
  3.44637724e-02,-3.28575143e-01, 5.79517979e-01, 1.07460000e-01,
 -2.01881839e-01, 4.74411770e-01,-1.59733083e-01, 3.48630009e-02,
  5.24935182e-01, 2.77250002e-01, 4.43841547e-01,-2.10850004e-01,
  1.26707530e-01, 1.22300620e-01, 3.33979765e-01,-6.12444946e-03,
  2.33212935e-01, 7.75574595e-02,-3.82776297e-01, 6.04716157e-01,
  3.78099234e-01,-2.30618460e-01, 1.80119996e-01,-1.01284765e-01,
  2.34952614e-01,-4.42820218e-01, 3.73734317e-01,-9.33838458e-02,
 -4.17992306e-01,-5.13506933e-01,-2.58861543e-01, 1.62279233e-01,
 -1.40260028e-02, 2.37346916e-01, 5.95585377e-02, 1.14800242e-02,
  2.00503844e-01,-4.82761607e-01, 2.15486618e-01,-4.43413846e-01,
 -3.80004454e-01,-1.05770231e-01, 2.80630781e-01, 3.31336462e-01"
10 14152,0.0,Mens Outerwear Google Rowan Pullover Hood ,"['Mens', 'Outerwear', 'Google', 'Rowan', 'Pullover', 'Hood']","['men', 'outerwear', 'google', 'rowan', 'pullover', 'hood']","-0.16464884, 0.10453   ,-0.02837933,-0.39748983, 0.14043017, 0.0372055 ,
  0.19970067,-0.00950283,-0.25052533, 0.07427317, 0.17461834, 0.10723384,
  0.25236833,-0.02383949, 0.03583834, 0.02067983, 0.23083583, 0.07122666,
 -0.23718667,-0.013895  , 0.12417501,-0.2367685 , 0.26418383, 0.44247366,
  0.32104017, 0.41653848,-0.07636333,-0.0902    ,-0.185833  ,-0.39340334,
  0.38940784, 0.16824417,-0.18514083,-0.53608333, 0.11883332, 0.32485667,
 -0.22968442, 0.35681544, 0.26131983, 0.28498833, 0.02348001, 0.15675167,
 -0.02572585,-0.14260934,-0.64588433, 0.28087433, 0.08731692, 0.16055867,
  0.58142233,-0.06271566,-0.14694666,-0.07078166,-0.25864917, 0.27416482,
 -0.26142066,-0.74025749, 0.02402634,-0.0952203 , 0.58044834, 0.023982  ,
  0.047318  , 0.20433499, 0.0872885 , 0.351394  , 0.092936  ,-0.219895  ,
  0.34911417, 0.16783983, 0.0260525 , 0.38286633,-0.07647882,-0.21277167,
 -0.10989833,-0.03529183,-0.08726617, 0.30207483, 0.66658666, 0.16299167,
  0.12175333,-0.12952283, 0.01107367,-0.0821745 , 0.0045325 , 0.09693564,
 -0.3841425 ,-0.25054717,-0.18552667,-0.00332333, 0.164467  , 0.008842  ,
  0.05979133,-0.14694334, 0.115855  ,-0.17694184, 0.080544  ,-0.22938   ,
 -0.36181483,-0.25354116, 0.14472833, 0.12709333"
10 14153,0.0,Mens Outerwear Google Vastrm Hoodie ,"['Mens', 'Outerwear', 'Google', 'Vastrm', 'Hoodie']","['men', 'outerwear', 'google', 'vastrm', 'hoodie']"," 0.23338275,-0.002565  ,-0.08752175,-0.41591975, 0.26079251, 0.0597875 ,
  0.33755   ,-0.00408425,-0.1592975 , 0.3418775 , 0.23405501, 0.01546501,
  0.42257749,-0.38465399,-0.0572575 ,-0.015246  , 0.17051625, 0.0712625 ,
 -0.162095  ,-0.072012  , 0.13112001,-0.207129  , 0.22170575, 0.57524604,
  0.01402275, 0.27410522,-0.14860749,-0.151806  ,-0.2808525 ,-0.62291001,
  0.29982925, 0.24448125,-0.42648   ,-0.49928499, 0.35187749, 0.208025  ,
 -0.33698188, 0.21556416, 0.16181475, 0.154505  , 0.1048525 , 0.111625  ,
 -0.01440127, 0.060808  ,-0.57607151, 0.1899215 ,-0.00894499, 0.06502625,
  0.46294849,-0.27540749, 0.04321751,-0.0403475 ,-0.096115  , 0.46615498,
 -0.24891849,-0.6400025 , 0.175432  ,-0.01055475, 0.5613925 , 0.00949249,
 -0.181836  , 0.2554735 , 0.00418375, 0.18977225, 0.351115  , 0.08766   ,
  0.46907501, 0.15189275, 0.145262  , 0.156382  , 0.20370175,-0.1897535 ,
 -0.064115  , 0.0844055 ,-0.13237   , 0.37651749, 0.4060675 , 0.07362249,
  0.0764575 ,-0.30730624, 0.316631  ,-0.25363924,-0.17466   , 0.02719325,
 -0.52832501,-0.2525145 ,-0.27781   ,-0.056715  , 0.044213  , 0.1144955 ,
  0.23675024, 0.20315   , 0.42485325,-0.40920774, 0.20443249,-0.27007875,
 -0.63199499, 0.15791326, 0.1681175 , 0.25735749"
10 14154,0.0,Mens Outerwear Google Anvil L S Crew Neck  Grey ,"['Mens', 'Outerwear', 'Google', 'Anvil', 'L', 'S', 'Crew', 'Neck', 'Grey']","['men', 'outerwear', 'google', 'anvil', 'l', 's', 'crew', 'neck', 'grey']","-0.02586077, 0.22376655, 0.05336233,-0.30106866,-0.02736372,-0.10556544,
  0.10243078, 0.16644489,-0.33408321, 0.18667589, 0.29101668, 0.04624777,
  0.26927778, 0.05452523,-0.20473777, 0.043737  , 0.09007711,-0.24386555,
  0.05409889,-0.08675789, 0.32137668,-0.20955833, 0.14420478, 0.32493659,
  0.43899   , 0.49655054,-0.0506167 , 0.01149889, 0.08212133,-0.26963367,
  0.35392189, 0.39477311,-0.25884123,-0.17995889, 0.36919155, 0.0519391 ,
  0.01358028, 0.24762585, 0.35224434, 0.37563667, 0.00302123,-0.17195   ,
 -0.11474279,-0.07426311,-0.32029167, 0.27855922,-0.21452599, 0.14058815,
  0.28156917,-0.12138556,-0.11472632, 0.05960966,-0.01412812, 0.68095888,
 -0.22239711,-1.25887446, 0.01839278, 0.00667478, 0.76064278, 0.21118961,
 -0.21549489, 0.22445889,-0.25677723, 0.29148323, 0.43425545, 0.12962112,
  0.25168978, 0.10408311, 0.07887756, 0.25374089,-0.07248067,-0.01302278,
 -0.01177301,-0.04679455, 0.29577889, 0.03566555, 0.1013542 , 0.134045  ,
 -0.14131778,-0.22450055, 0.11291611,-0.20164633,-0.09111367, 0.04246567,
 -0.61152222,-0.40825456,-0.074104  ,-0.28791322, 0.21628031, 0.11157867,
  0.05361889, 0.08290667, 0.36473744, 0.07543567, 0.075861  ,-0.11795089,
 -0.46084211,-0.08360022, 0.41134366,-0.03843667"
10 14155,0.0,Mens Outerwear Google Mens Voyage Fleece Jacket ,"['Mens', 'Outerwear', 'Google', 'Mens', 'Voyage', 'Fleece', 'Jacket']","['men', 'outerwear', 'google', 'men', 'voyage', 'fleece', 'jacket']"," 1.54540283e-01, 5.41554264e-02, 7.98660006e-02,-2.67213862e-01,
  1.78477862e-01, 7.22171494e-02, 3.70965718e-01, 2.46237141e-01,
 -5.31961415e-01, 2.56533571e-01, 3.39227867e-01, 1.31439433e-01,
  4.42722846e-01,-1.40660710e-01, 7.23478645e-02,-5.86802874e-02,
  3.83288571e-01,-5.73685744e-02,-1.02924281e-01,-3.11003287e-01,
  4.55716078e-01,-1.47477198e-01, 2.07647567e-01, 3.52592849e-01,
  3.40168722e-01, 4.50697122e-01,-3.82252840e-01,-4.07431426e-01,
  7.55614234e-02,-6.62994284e-01, 1.25115283e-01, 3.75245756e-02,
 -3.89270008e-01,-5.84018567e-01, 3.63104705e-01, 2.16831432e-01,
 -1.87181077e-01, 4.75866807e-01, 1.05538279e-01, 1.95578575e-01,
 -6.61171419e-02,-6.92962818e-02, 4.86084132e-02,-1.70532860e-01,
 -3.50934567e-01,-2.84211444e-02, 1.47947182e-02, 1.62892853e-02,
  3.93953991e-01,-9.48314326e-02,-2.31534211e-02, 2.27537143e-01,
 -1.02877287e-01, 7.91574272e-01,-3.11129995e-01,-9.54574278e-01,
  7.86071643e-03, 1.84204312e-02, 8.49360000e-01, 2.01027708e-01,
 -3.17750937e-01, 5.41644275e-01,-5.27999231e-04, 2.78344005e-01,
  3.54387141e-01,-7.30371390e-02, 2.86521428e-01, 3.79871385e-02,
  5.51137137e-02,-7.16417070e-02, 4.11350030e-02,-2.91678710e-01,
  1.07175575e-01, 8.08128571e-02,-1.01144571e-01, 4.04661140e-01,
  3.56068575e-01,-2.55951440e-02,-1.10880855e-01,-2.33318419e-01,
  1.86692859e-01, 2.28590029e-02, 2.79114289e-02, 3.98104233e-02,
 -6.09084867e-01,-4.62799859e-01,-1.60784283e-01,-2.64174289e-01,
  3.82457211e-02, 5.91311356e-02, 1.86533140e-01,-2.51585735e-02,
  6.88858564e-01,-4.91828861e-01, 6.17438597e-02,-2.66341858e-01,
 -6.22697134e-01, 4.95608577e-02, 9.45286666e-03, 1.76540424e-01"
10 14157,0.0,Mens Outerwear Google Green Flex Fleece Zip Hoodie ,"['Mens', 'Outerwear', 'Google', 'Green', 'Flex', 'Fleece', 'Zip', 'Hoodie']","['men', 'outerwear', 'google', 'green', 'flex', 'fleece', 'zip', 'hoodie']","-0.14018975, 0.06047437, 0.06118688,-0.54861862, 0.14880051, 0.07465299,
  0.12053875, 0.16744588,-0.16951999, 0.32142062, 0.03985463,-0.11621399,
  0.29128162,-0.17259412, 0.02766438,-0.00151088, 0.55652562, 0.07128125,
  0.111615  ,-0.20696082, 0.13367875,-0.0277495 , 0.07754038, 0.32499602,
  0.19177513, 0.37726136,-0.11824511,-0.3213605 ,-0.19408375,-0.53121151,
  0.388047  , 0.32935688,-0.24093251,-0.34129875, 0.25800112, 0.34196125,
 -0.14122844, 0.23300334, 0.16771987, 0.27938375, 0.22519524,-0.15899625,
 -0.0152217 ,-0.0166635 ,-0.58307075, 0.04881675, 0.01170875, 0.12143938,
  0.35025675,-0.16666524,-0.22207836, 0.097255  ,-0.32244999, 0.43871512,
 -0.25865987,-0.72867377, 0.15826138, 0.13705887, 0.67335377,-0.05999938,
 -0.0408005 , 0.30195925,-0.09166813, 0.42402113, 0.45612375,-0.00919325,
  0.389705  ,-0.12451363, 0.11559388, 0.011281  , 0.1695355 ,-0.03322612,
  0.05745738,-0.1567835 ,-0.05361487, 0.36945725, 0.32002875, 0.08248412,
  0.07676687,-0.13633937, 0.11419925,-0.14862525,-0.286385  ,-0.06905662,
 -0.22191363,-0.00157238, 0.02260153,-0.12613   , 0.047469  , 0.235951  ,
  0.0912475 , 0.10159875, 0.16826037,-0.46936888,-0.02619175,-0.29268688,
 -0.325435  ,-0.01388337, 0.06084375, 0.19234962"
10 14159,0.0,Mens Outerwear Chrome EcoJersey Chrome Zip Up Hoodie ,"['Mens', 'Outerwear', 'Chrome', 'EcoJersey', 'Chrome', 'Zip', 'Up', 'Hoodie']","['men', 'outerwear', 'chrome', 'ecojersey', 'chrome', 'zip', 'up', 'hoodie']","-0.17909842, 0.33029285, 0.111219  ,-0.67543285, 0.23472985, 0.06879142,
 -0.17015572, 0.39248043, 0.07956572, 0.34075894, 0.25733443,-0.06246193,
  0.11052185, 0.04361657, 0.04959856, 0.02464986, 0.34034114,-0.08617857,
  0.01651143,-0.34667114, 0.31012857,-0.25979372, 0.07477714, 0.33510688,
  0.25292857, 0.13407841,-0.14423571,-0.33677285,-0.30720158,-0.78359714,
  0.35230101,-0.00399186,-0.09130486,-0.348912  , 0.35418999, 0.26158571,
 -0.16724379, 0.22435667, 0.36356129, 0.26857571, 0.28653428,-0.20456143,
  0.01961428,-0.10294243,-0.54081086, 0.33374257, 0.05809143,-0.09593928,
  0.38503058,-0.28723339,-0.40558143, 0.11864857,-0.29452571, 0.52997   ,
 -0.37183986,-0.77225856, 0.048076  , 0.21995585, 0.83989289, 0.09335528,
  0.02383371, 0.41345771,-0.15112857, 0.42532558, 0.32687   ,-0.19397086,
  0.62511857,-0.07212558, 0.062534  , 0.06992971, 0.25969285,-0.02852343,
  0.16746285,-0.06818543,-0.15441858, 0.35602571, 0.21755   , 0.33225787,
  0.16948999,-0.53407772, 0.06865943,-0.16685142,-0.20798999, 0.16247573,
 -0.28223428, 0.02685999, 0.09168461, 0.01891571,-0.14848114, 0.38864258,
  0.15659157, 0.34270858, 0.07975757,-0.283343  , 0.10447914,-0.34283928,
 -0.62045502,-0.05170514, 0.46604572, 0.17844857"
10 14160,0.0,Mens Outerwear Google Grey Heather Fleece Zip Hoodie ,"['Mens', 'Outerwear', 'Google', 'Grey', 'Heather', 'Fleece', 'Zip', 'Hoodie']","['men', 'outerwear', 'google', 'grey', 'heather', 'fleece', 'zip', 'hoodie']","-0.06533475,-0.03270888, 0.06709938,-0.55982363, 0.15020463, 0.06989012,
  0.1053175 , 0.172835  ,-0.24525249, 0.18411   , 0.01891513,-0.12791091,
  0.29204162,-0.06631287, 0.07390438,-0.11341212, 0.50650061,-0.0867875 ,
  0.13800114, 0.01082776,-0.04020375,-0.00935325, 0.28550663, 0.29412727,
  0.29617139, 0.38094512, 0.03678751,-0.32845925,-0.28276675,-0.43895876,
  0.45544713, 0.16668438,-0.06919888,-0.415885  , 0.30753412, 0.27654538,
 -0.13569594, 0.27195584, 0.26001737, 0.31764125, 0.10396875,-0.036187  ,
 -0.21336295,-0.03841475,-0.5416045 , 0.13184475,-0.0411125 , 0.0846005 ,
  0.3609885 ,-0.11707437,-0.12039124, 0.00500125,-0.20549129, 0.42557289,
 -0.33382612,-0.70572625, 0.03763638, 0.15611888, 0.46360188,-0.00161632,
 -0.11578712, 0.30213425,-0.02844687, 0.34748613, 0.4330475 ,-0.0544295 ,
  0.37727963, 0.01099887, 0.17882725, 0.0568685 , 0.096063  ,-0.02517087,
  0.06171663,-0.0732835 ,-0.05631525, 0.3177975 , 0.2349825 , 0.07140812,
  0.0619155 ,-0.13366875,-0.02607075,-0.04613875,-0.08049375,-0.07762587,
 -0.22742876,-0.29290113,-0.13261547,-0.18806712, 0.1047715 , 0.35696226,
  0.05524137,-0.02167237, 0.2402775 ,-0.42049513, 0.04960337,-0.24335688,
 -0.46787874, 0.05492225,-0.2489525 , 0.13086999"
