product_category,mean_compound,most_common_sentiment,number_of_products,total_reviews,total_ratings
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,0.999,positive,1,13,42
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,0.96975,positive,2,16,89
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,0.9923,positive,1,8,33
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,0.9863999999999999,positive,2,21,79
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,0.9965999999999999,positive,2,18,74
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,0.9936,positive,2,26,86
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,0.9966666666666667,positive,2,24,95
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,0.9854,positive,1,13,45
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,0.98665,positive,2,16,76
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,0.9746,positive,1,8,41
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,0.9205270386266095,positive,161,2068,8796
Computers&Accessories|Accessories&Peripherals|HardDiskBags,0.9883000000000001,positive,3,29,99
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,0.996,positive,1,8,37
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",0.7492272727272727,positive,11,84,382
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",0.9562,positive,2,16,81
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",0.9949875,positive,8,64,290
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",0.7977299999999999,positive,10,104,402
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",0.9633800000000001,positive,5,51,168
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",0.9751208333333333,positive,24,259,951
