Product Category,Warehouse Country,Mean_Expected_Time,Mean_Actual_Time,Mean_Difference
Accessories,Puerto Rico,3.0,7.19327731092437,4.19327731092437
Accessories,USA,3.035,22.185,19.15
As Seen on  TV!,Puerto Rico,3.6666666666666665,3.3333333333333335,-0.33333333333333304
As Seen on  TV!,USA,2.8,2.8,0.0
Baby,Puerto Rico,3.3157894736842106,-0.6842105263157895,-4.0
Baby,USA,3.2777777777777777,-37.27777777777778,-40.55555555555556
Baseball & Softball,Puerto Rico,3.186046511627907,-20.0,-23.186046511627907
Baseball & Softball,USA,3.0869565217391304,1.565217391304348,-1.5217391304347825
Basketball,Puerto Rico,4.0,4.0,0.0
Basketball,USA,2.7142857142857144,2.5714285714285716,-0.1428571428571428
Books,Puerto Rico,3.25,3.7,0.4500000000000002
Books,USA,3.0555555555555554,-17.61111111111111,-20.666666666666664
Boxing & MMA,Puerto Rico,3.0,3.2142857142857144,0.2142857142857144
Boxing & MMA,USA,2.9375,3.4583333333333335,0.5208333333333335
CDs,Puerto Rico,3.32,2.28,-1.04
CDs,USA,3.289473684210526,2.1315789473684212,-1.1578947368421049
Cameras,Puerto Rico,2.8732394366197185,-12.394366197183098,-15.267605633802816
Cameras,USA,2.9,27.258333333333333,24.358333333333334
Camping & Hiking,Puerto Rico,3.0618336886993602,3.124733475479744,0.06289978678038377
Camping & Hiking,USA,3.097380792478173,-0.34721289456010745,-3.4445936870382807
Cardio Equipment,Puerto Rico,3.117224880382775,14.090909090909092,10.973684210526317
Cardio Equipment,USA,3.039881831610044,4.886262924667651,1.846381093057607
Children's Clothing,Puerto Rico,1.6666666666666667,-1.1666666666666667,-2.8333333333333335
Children's Clothing,USA,3.3333333333333335,17.0,13.666666666666666
Cleats,Puerto Rico,3.0361663652802893,5.318866787221218,2.2827004219409286
Cleats,USA,3.0803334596438043,0.8048503220917014,-2.275483137552103
Consumer Electronics,Puerto Rico,2.6315789473684212,8.0,5.368421052631579
Consumer Electronics,USA,3.161290322580645,2.064516129032258,-1.096774193548387
Crafts,Puerto Rico,3.2857142857142856,7.821428571428571,4.535714285714286
Crafts,USA,2.9473684210526314,-63.01754385964912,-65.96491228070175
DVDs,Puerto Rico,3.1702127659574466,2.5106382978723403,-0.6595744680851063
DVDs,USA,3.04,-14.986666666666666,-18.026666666666667
Electronics,Puerto Rico,3.0985915492957745,11.741784037558686,8.643192488262912
Electronics,USA,3.0814332247557004,10.11400651465798,7.032573289902279
Fishing,Puerto Rico,2.97224709042077,2.801253357206804,-0.17099373321396572
Fishing,USA,3.0965360590573536,6.760363429869392,3.663827370812039
Fitness Accessories,Puerto Rico,3.066666666666667,102.66666666666667,99.60000000000001
Fitness Accessories,USA,3.0526315789473686,5.7894736842105265,2.736842105263158
Garden,Puerto Rico,2.9545454545454546,30.954545454545453,28.0
Garden,USA,3.3333333333333335,-69.91111111111111,-73.24444444444444
Girls' Apparel,Puerto Rico,2.872093023255814,0.18604651162790697,-2.6860465116279073
Girls' Apparel,USA,2.8859649122807016,2.9649122807017543,0.07894736842105265
Golf Apparel,Puerto Rico,3.0,-16.363636363636363,-19.363636363636363
Golf Apparel,USA,3.388888888888889,2.2222222222222223,-1.1666666666666665
Golf Bags & Carts,Puerto Rico,1.25,-93.25,-94.5
Golf Bags & Carts,USA,3.111111111111111,3.5555555555555554,0.4444444444444442
Golf Balls,Puerto Rico,2.835294117647059,11.341176470588236,8.505882352941176
Golf Balls,USA,3.1857142857142855,2.7214285714285715,-0.46428571428571397
Golf Gloves,Puerto Rico,2.933333333333333,1.2666666666666666,-1.6666666666666665
Golf Gloves,USA,3.144230769230769,-2.4134615384615383,-5.5576923076923075
Golf Shoes,Puerto Rico,3.1176470588235294,-23.294117647058822,-26.41176470588235
Golf Shoes,USA,3.23728813559322,3.610169491525424,0.37288135593220373
Health and Beauty,Puerto Rico,2.6666666666666665,1.9166666666666667,-0.7499999999999998
Health and Beauty,USA,3.411764705882353,-1.8823529411764706,-5.294117647058823
Hockey,Puerto Rico,3.2857142857142856,-1.5,-4.785714285714286
Hockey,USA,3.1147540983606556,3.4754098360655736,0.360655737704918
Hunting & Shooting,Puerto Rico,3.066666666666667,-19.633333333333333,-22.7
Hunting & Shooting,USA,2.9210526315789473,2.763157894736842,-0.1578947368421053
Indoor/Outdoor Games,Puerto Rico,3.129179331306991,11.06306990881459,7.933890577507599
Indoor/Outdoor Games,USA,3.0795238095238093,4.011904761904762,0.9323809523809525
Kids' Golf Clubs,Puerto Rico,3.3043478260869565,-48.52173913043478,-51.826086956521735
Kids' Golf Clubs,USA,3.25,-16.181818181818183,-19.431818181818183
Lacrosse,Puerto Rico,3.3684210526315788,-17.263157894736842,-20.63157894736842
Lacrosse,USA,2.8333333333333335,11.88888888888889,9.055555555555555
Men's Clothing,Puerto Rico,2.0,2.25,0.25
Men's Clothing,USA,1.5,-0.25,-1.75
Men's Footwear,Puerto Rico,3.1307277628032346,6.119946091644205,2.98921832884097
Men's Footwear,USA,3.069590889919865,5.202446225221426,2.1328553353015605
Men's Golf Clubs,Puerto Rico,3.4210526315789473,2.8421052631578947,-0.5789473684210527
Men's Golf Clubs,USA,2.9047619047619047,-33.476190476190474,-36.38095238095238
Music,Puerto Rico,3.5,5.25,1.75
Music,USA,3.0,72.9,69.9
Pet Supplies,Puerto Rico,2.8275862068965516,1.0689655172413792,-1.7586206896551724
Pet Supplies,USA,2.847826086956522,-31.5,-34.34782608695652
Shop By Sport,Puerto Rico,3.1417004048582995,-0.9311740890688259,-4.0728744939271255
Shop By Sport,USA,3.0828402366863905,3.050718512256974,-0.03212172442941652
Soccer,Puerto Rico,2.8181818181818183,-6.545454545454546,-9.363636363636363
Soccer,USA,3.3846153846153846,4.076923076923077,0.6923076923076921
Sporting Goods,Puerto Rico,2.9166666666666665,-0.08333333333333333,-3.0
Sporting Goods,USA,2.8823529411764706,4.9411764705882355,2.058823529411765
Strength Training,Puerto Rico,3.6,3.2,-0.3999999999999999
Strength Training,USA,3.4444444444444446,89.88888888888889,86.44444444444444
Tennis & Racquet,Puerto Rico,3.0,-50.15384615384615,-53.15384615384615
Tennis & Racquet,USA,3.085714285714286,-2.742857142857143,-5.828571428571429
Toys,Puerto Rico,2.638888888888889,3.25,0.6111111111111112
Toys,USA,2.5945945945945947,3.4054054054054053,0.8108108108108105
Trade-In,Puerto Rico,3.0833333333333335,-8.716666666666667,-11.8
Trade-In,USA,3.066666666666667,3.066666666666667,0.0
Video Games,Puerto Rico,3.4375,3.1875,-0.25
Video Games,USA,3.326530612244898,-62.53061224489796,-65.85714285714286
Water Sports,Puerto Rico,3.0513068731848985,4.685382381413359,1.6340755082284608
Water Sports,USA,3.022960725075529,3.249546827794562,0.226586102719033
Women's Apparel,Puerto Rico,3.01932712956335,-1.1710808876163208,-4.190408017179671
Women's Apparel,USA,3.128988764044944,4.168089887640449,1.0391011235955054
Women's Clothing,Puerto Rico,2.590909090909091,-28.863636363636363,-31.454545454545453
Women's Clothing,USA,3.021276595744681,-28.76595744680851,-31.78723404255319
Women's Golf Clubs,Puerto Rico,3.75,2.75,-1.0
Women's Golf Clubs,USA,3.1578947368421053,3.6315789473684212,0.47368421052631593
