Product Category,Warehouse Country,Bad (Delayed),Good (Early),Good (On Time),Total Shipments,Good_Percentage,Bad_Percentage
Accessories,Puerto Rico,51,38,30,119,57.14285714285714,42.857142857142854
Accessories,USA,108,48,44,200,46.0,54.0
As Seen on  TV!,Puerto Rico,1,2,3,6,83.33333333333334,16.666666666666664
As Seen on  TV!,USA,2,2,1,5,60.0,40.0
Baby,Puerto Rico,6,13,0,19,68.42105263157895,31.57894736842105
Baby,USA,5,12,1,18,72.22222222222221,27.77777777777778
Baseball & Softball,Puerto Rico,16,11,16,43,62.7906976744186,37.2093023255814
Baseball & Softball,USA,22,30,17,69,68.11594202898551,31.88405797101449
Basketball,Puerto Rico,1,1,0,2,50.0,50.0
Basketball,USA,2,4,1,7,71.42857142857143,28.57142857142857
Books,Puerto Rico,8,11,1,20,60.0,40.0
Books,USA,14,17,5,36,61.111111111111114,38.88888888888889
Boxing & MMA,Puerto Rico,12,9,7,28,57.14285714285714,42.857142857142854
Boxing & MMA,USA,25,11,12,48,47.91666666666667,52.083333333333336
CDs,Puerto Rico,11,11,3,25,56.00000000000001,44.0
CDs,USA,17,18,3,38,55.26315789473685,44.73684210526316
Cameras,Puerto Rico,25,42,4,71,64.7887323943662,35.2112676056338
Cameras,USA,62,48,10,120,48.333333333333336,51.66666666666667
Camping & Hiking,Puerto Rico,387,310,241,938,58.74200426439232,41.25799573560768
Camping & Hiking,USA,623,548,318,1489,58.159838817998654,41.840161182001346
Cardio Equipment,Puerto Rico,383,288,165,836,54.186602870813395,45.8133971291866
Cardio Equipment,USA,613,528,213,1354,54.72673559822747,45.27326440177253
Children's Clothing,Puerto Rico,3,3,0,6,50.0,50.0
Children's Clothing,USA,1,1,1,3,66.66666666666666,33.33333333333333
Cleats,Puerto Rico,663,612,384,1659,60.03616636528029,39.963833634719705
Cleats,USA,1243,907,489,2639,52.89882531261841,47.10117468738159
Consumer Electronics,Puerto Rico,8,9,2,19,57.89473684210527,42.10526315789473
Consumer Electronics,USA,9,19,3,31,70.96774193548387,29.03225806451613
