Industry,Average Gross Profit Margin,Average Net Profit Margin,Number of companies
Advertising Agencies,46.70%,-3.60%,24
Aerospace & Defense,27.20%,4.20%,53
Agricultural Inputs,27.30%,-2.10%,11
Airlines,47.30%,0.30%,12
Airports & Air Services,28.10%,N/A,4
Apparel Manufacturing,48.30%,1.80%,16
Apparel Retail,41.60%,3.70%,29
Asset Management,81.90%,20.60%,77
Auto Manufacturers,13.40%,3.80%,16
Auto Parts,21.70%,2.10%,47
Auto & Truck Dealerships,28.40%,-0.30%,14
Banks - Diversified,88.70%,24.40%,6
Banks - Regional,99.80%,22.50%,299
Beverages - Non-Alcoholic,47.80%,15.70%,12
Beverages - Wineries & Distilleries,42.30%,7.20%,7
Biotechnology,86.80%,-187.70%,519
Broadcasting,40.50%,-5.70%,15
Building Materials,29%,15.10%,9
Building Products & Equipment,32.40%,9.40%,29
Business Equipment & Supplies,33.70%,1.40%,7
Capital Markets,82%,12%,37
Chemicals,19.80%,5.20%,18
Communication Equipment,39.70%,-10%,47
Computer Hardware,39.70%,0.20%,27
Conglomerates,31%,0%,13
Consulting Services,41.70%,5.80%,16
Consumer Electronics,33.70%,-11.20%,12
Copper,39.10%,N/A,4
Credit Services,82.60%,18.90%,45
Department Stores,34.60%,2.90%,5
Diagnostics & Research,47.50%,-85.30%,64
Discount Stores,25.20%,3%,8
Drug Manufacturers - General,70.80%,12.70%,12
Drug Manufacturers - Specialty & Generic,54.90%,-79.10%,46
Education & Training Services,55.20%,6.60%,17
Electrical Equipment & Parts,29.60%,5.20%,41
Electronic Components,29.10%,3.20%,32
Electronic Gaming & Multimedia,69%,-12.10%,7
Electronics & Computer Distribution,14.80%,2.60%,5
Engineering & Construction,18.50%,4%,31
Entertainment,46.20%,-7.10%,40
Farm & Heavy Construction Machinery,21.60%,5.80%,23
Farm Products,14.30%,4.80%,16
Financial Data & Stock Exchanges,71.20%,27.40%,11
Food Distribution,14.50%,0.80%,9
Footwear & Accessories,46%,6.90%,11
"Furnishings, Fixtures & Appliances",37.50%,1.60%,21
Gambling,55%,3.50%,11
Gold,27.90%,6.30%,28
Grocery Stores,27.60%,1.90%,10
Healthcare Plans,20.50%,-17.50%,12
Health Information Services,51.90%,-26.50%,34
Home Improvement Retail,43.20%,5.90%,7
Household & Personal Products,56.40%,5.60%,25
Industrial Distribution,30.40%,4.30%,17
Information Technology Services,37.50%,1.30%,53
Insurance Brokers,90%,5.30%,12
Insurance - Diversified,56.90%,11.70%,12
Insurance - Life,48.10%,10%,14
Insurance - Property & Casualty,46.30%,11.50%,37
Insurance - Reinsurance,48.90%,14.60%,8
Insurance - Specialty,79.40%,13.50%,17
Integrated Freight & Logistics,37.40%,3.30%,16
Internet Content & Information,64.20%,-3.60%,39
Internet Retail,47.60%,-1.90%,25
Leisure,43%,2.70%,26
Lodging,33.40%,6.90%,9
Luxury Goods,46.70%,2.90%,6
Marine Shipping,53.80%,9.40%,24
Medical Care Facilities,36.10%,-5.40%,39
Medical Devices,62.80%,-53.80%,97
Medical Distribution,19.90%,3.70%,7
Medical Instruments & Supplies,55.60%,-33.90%,45
Metal Fabrication,25.40%,5.50%,13
Mortgage Finance,84.80%,8.60%,17
Oil & Gas Drilling,37.30%,4.60%,7
Oil & Gas E&P,62.90%,14.10%,62
Oil & Gas Equipment & Services,28.60%,5.90%,48
Oil & Gas Integrated,29.80%,7.70%,6
Oil & Gas Midstream,48.50%,19.50%,36
Oil & Gas Refining & Marketing,9.90%,-0.10%,17
Other Industrial Metals & Mining,13.50%,-4.70%,19
Other Precious Metals & Mining,42.40%,N/A,13
Packaged Foods,27.30%,4.10%,43
Packaging & Containers,24.10%,4.40%,20
Paper & Paper Products,14.40%,-4.50%,5
Personal Services,42.20%,9.80%,11
Pharmaceutical Retailers,44.60%,-14.80%,7
Pollution & Treatment Controls,39.20%,7.10%,10
Publishing,60.40%,-0.60%,7
Railroads,36.80%,11.60%,8
Real Estate - Development,42.50%,5.70%,10
Real Estate - Diversified,33.40%,N/A,4
Real Estate Services,42.10%,2.70%,25
Recreational Vehicles,22%,2%,14
REIT - Diversified,70.10%,18.20%,20
REIT - Healthcare Facilities,65.30%,9.90%,17
REIT - Hotel & Motel,42.60%,7.30%,15
REIT - Industrial,72.30%,26.20%,16
REIT - Mortgage,88.20%,21.50%,39
REIT - Office,61.40%,-8.50%,24
REIT - Residential,57%,11.50%,18
REIT - Retail,72.80%,18.50%,24
REIT - Specialty,58.50%,19%,16
Rental & Leasing Services,38.20%,7.60%,20
Residential Construction,25.20%,11.10%,20
Resorts & Casinos,48.90%,1.50%,18
Restaurants,37.40%,4.10%,43
Scientific & Technical Instruments,47.60%,6.50%,24
Security & Protection Services,36.70%,10.80%,14
Semiconductor Equipment & Materials,45.40%,9.50%,25
Semiconductors,46.90%,-1.60%,66
Software - Application,64.10%,-2.50%,195
Software - Infrastructure,64.90%,-0.70%,98
Solar,22.30%,-19.60%,13
Specialty Business Services,32%,4.90%,27
Specialty Chemicals,28.40%,4.60%,44
Specialty Industrial Machinery,35.70%,8.30%,77
Specialty Retail,40.10%,0.90%,39
Staffing & Employment Services,31.10%,2.90%,23
Steel,16%,2.90%,15
Telecom Services,60%,2.20%,33
Thermal Coal,26.10%,9%,9
Tobacco,42.80%,N/A,5
Tools & Accessories,36.80%,7.90%,10
Travel Services,57.60%,8.60%,12
Trucking,47.70%,4.60%,12
Uranium,21.30%,N/A,5
Utilities - Diversified,40.10%,13.70%,15
Utilities - Regulated Electric,42.40%,12.60%,25
Utilities - Regulated Gas,45.60%,11.10%,14
Utilities - Regulated Water,53.90%,17.10%,13
Utilities - Renewable,39.30%,11.10%,12
Waste Management,31.20%,3%,13
