year_month,product_id,final_reorder_amount
2016-08-01,GGOEA0CH077599,8.0
2016-08-01,GGOEAAAB034813,6.0
2016-08-01,GGOEAAAB034814,14.0
2016-08-01,GGOEAAAB034815,14.0
2016-08-01,GGOEAAAB034816,13.0
2016-08-01,GGOEAAAB034817,9.0
2016-08-01,GGOEAAAB034913,5.0
2016-08-01,GGOEAAAB034914,14.0
2016-08-01,GGOEAAAB034915,14.0
2016-08-01,GGOEAAAB034916,14.0
2016-08-01,GGOEAAAB034917,9.0
2016-08-01,GGOEAAAB081013,3.0
2016-08-01,GGOEAAAB081014,5.0
2016-08-01,GGOEAAAB081015,6.0
2016-08-01,GGOEAAAB081016,4.0
2016-08-01,GGOEAAAB081017,2.0
2016-08-01,GGOEAAAC080913,5.0
2016-08-01,GGOEAAAC080914,5.0
2016-08-01,GGOEAAAC080915,6.0
2016-08-01,GGOEAAAC080916,4.0
2016-08-01,GGOEAAAC080917,0.0
2016-08-01,GGOEAAAH083313,4.0
2016-08-01,GGOEAAAH083314,4.0
2016-08-01,GGOEAAAH083315,5.0
2016-08-01,GGOEAAAH083316,6.0
2016-08-01,GGOEAAAJ031913,11.0
2016-08-01,GGOEAAAJ031914,12.0
2016-08-01,GGOEAAAJ031915,10.0
2016-08-01,GGOEAAAJ031916,11.0
2016-08-01,GGOEAAAJ031917,6.0
2016-08-01,GGOEAAAJ032413,5.0
2016-08-01,GGOEAAAJ032414,9.0
2016-08-01,GGOEAAAJ032415,10.0
2016-08-01,GGOEAAAJ032416,6.0
2016-08-01,GGOEAAAJ032417,1.0
2016-08-01,GGOEAAAJ032913,4.0
2016-08-01,GGOEAAAJ032914,9.0
2016-08-01,GGOEAAAJ032915,6.0
2016-08-01,GGOEAAAJ032916,5.0
2016-08-01,GGOEAAAJ032917,1.0
2016-08-01,GGOEAAAJ034513,6.0
2016-08-01,GGOEAAAJ034514,4.0
2016-08-01,GGOEAAAJ034515,8.0
2016-08-01,GGOEAAAJ034516,4.0
2016-08-01,GGOEAAAJ034517,5.0
2016-08-01,GGOEAAAJ080813,3.0
2016-08-01,GGOEAAAJ080814,3.0
2016-08-01,GGOEAAAJ080815,6.0
2016-08-01,GGOEAAAJ080816,6.0
2016-08-01,GGOEAAAJ080817,3.0
2016-08-01,GGOEAAAL081113,3.0
2016-08-01,GGOEAAAL081114,5.0
2016-08-01,GGOEAAAL081115,6.0
2016-08-01,GGOEAAAL081116,5.0
2016-08-01,GGOEAAAL081117,3.0
2016-08-01,GGOEAAAP081213,3.0
2016-08-01,GGOEAAAP081214,5.0
2016-08-01,GGOEAAAP081215,6.0
2016-08-01,GGOEAAAP081216,3.0
2016-08-01,GGOEAAAP081217,3.0
2016-08-01,GGOEAAAQ032013,11.0
2016-08-01,GGOEAAAQ032014,7.0
2016-08-01,GGOEAAAQ032015,9.0
2016-08-01,GGOEAAAQ032016,3.0
2016-08-01,GGOEAAEB028313,6.0
2016-08-01,GGOEAAEB028314,2.0
2016-08-01,GGOEAAEB028316,2.0
2016-08-01,GGOEAAEB030213,4.0
2016-08-01,GGOEAAEB030214,0.0
2016-08-01,GGOEAAEB030216,0.0
2016-08-01,GGOEAAEB031213,2.0
2016-08-01,GGOEAAEB031214,3.0
2016-08-01,GGOEAAEB031215,3.0
2016-08-01,GGOEAAEB031216,3.0
2016-08-01,GGOEAAEB031217,0.0
2016-08-01,GGOEAAEB031613,2.0
2016-08-01,GGOEAAEB031614,8.0
2016-08-01,GGOEAAEB031615,7.0
2016-08-01,GGOEAAEB031616,2.0
2016-08-01,GGOEAAEB031617,1.0
2016-08-01,GGOEAAEC029413,6.0
2016-08-01,GGOEAAEC029414,1.0
2016-08-01,GGOEAAEC029416,4.0
2016-08-01,GGOEAAEH035213,4.0
2016-08-01,GGOEAAEH035214,11.0
2016-08-01,GGOEAAEH035215,5.0
2016-08-01,GGOEAAEH035216,1.0
2016-08-01,GGOEAAEH035217,6.0
2016-08-01,GGOEAAEJ028213,6.0
2016-08-01,GGOEAAEJ028214,4.0
2016-08-01,GGOEAAEJ028216,2.0
2016-08-01,GGOEAAEJ029313,6.0
2016-08-01,GGOEAAEJ029315,2.0
2016-08-01,GGOEAAEJ029317,1.0
2016-08-01,GGOEAAEJ030913,8.0
2016-08-01,GGOEAAEJ030914,12.0
2016-08-01,GGOEAAEJ030915,8.0
2016-08-01,GGOEAAEJ030916,6.0
2016-08-01,GGOEAAEJ030917,5.0
2016-08-01,GGOEAAEJ033413,11.0
2016-08-01,GGOEAAEJ033414,11.0
2016-08-01,GGOEAAEJ033415,10.0
2016-08-01,GGOEAAEJ033416,9.0
2016-08-01,GGOEAAEJ033417,3.0
2016-08-01,GGOEAAEJ035713,7.0
2016-08-01,GGOEAAEJ035714,6.0
2016-08-01,GGOEAAEJ035715,5.0
2016-08-01,GGOEAAEJ035716,2.0
2016-08-01,GGOEAAEJ035717,2.0
2016-08-01,GGOEAAFB035913,8.0
2016-08-01,GGOEAAFB035914,6.0
2016-08-01,GGOEAAFB035915,6.0
