year_month,product_id,product_category,product_price,present_user_cnt,present_total_qty
2016-04-01,GGOEAOBH078799,Fun,8.99,36,108
2016-04-01,GGOEAOBH078799,Accessories,7.19,3,3
2016-04-01,GGOEGAAB010517,Apparel,16.99,4,4
2016-04-01,GGOEGAAB010517,Apparel,13.59,3,9
2016-04-01,GGOEGAAC032117,Apparel,18.99,4,4
2016-04-01,GGOEGAAJ073415,Apparel,18.99,0,0
2016-04-01,GGOEGAAJ073415,Apparel,15.19,0,0
2016-04-01,GGOEGAAJ080615,Apparel,15.99,12,16
2016-04-01,GGOEGAAJ080615,Apparel,19.99,2,16
2016-04-01,GGOEGAAR010717,Apparel,16.99,3,6
2016-04-01,GGOEGAEA030413,Apparel,15.99,1,6
2016-04-01,GGOEGAER029213,Apparel,15.19,1,1
2016-04-01,GGOEGAFB035814,Apparel,44.79,0,0
2016-04-01,GGOEGAFB035814,Apparel,55.99,0,0
2016-04-01,GGOEGAQB036014,Apparel,44.79,0,0
2016-04-01,GGOEGAQB036014,Apparel,55.99,0,0
2016-04-01,GGOEGAWR061148,Apparel,23.99,0,0
2016-04-01,GGOEGAWR061148,Apparel,19.19,2,2
2016-04-01,GGOEGAXC065629,Apparel,30.39,3,4
2016-04-01,GGOEGAYQ068956,Apparel,35.2,0,0
2016-04-01,GGOEGAYQ068956,Apparel,24.64,0,0
2016-04-01,GGOEGDHC018299,Drinkware,2.99,26,609
2016-04-01,GGOEGDHC018299,Drinkware,2.39,19,114
2016-04-01,GGOEGDHR018499,Drinkware,2.99,7,381
2016-04-01,GGOEGDHR018499,Drinkware,2.39,7,81
2016-04-01,GGOEGFKQ020399,Office,1.99,6,12
2016-04-01,GGOEGFKQ020399,Office,1.59,6,23
2016-04-01,GGOEGFKQ020399,Office,2.39,13,209
2016-04-01,GGOEGFKQ020399,Office,2.99,33,310
2016-04-01,GGOEGGOA017399,Office,0.99,17,1413
2016-04-01,GGOEGGOA017399,Office,0.79,4,238
2016-04-01,GGOEGHGC019799,Lifestyle,3.5,13,103
2016-04-01,GGOEGHGC019799,Lifestyle,2.8,22,221
2016-04-01,GGOEGHGH019699,Lifestyle,3.5,14,773
2016-04-01,GGOEGHGH019699,Lifestyle,2.8,11,181
2016-04-01,GGOEGHGT019599,Lifestyle,3.5,9,258
2016-04-01,GGOEGHGT019599,Lifestyle,2.8,16,170
2016-04-01,GGOEGHPB071610,Headgear,10.99,29,36
2016-04-01,GGOEGHPB071610,Headgear,8.79,10,33
2016-04-01,GGOEWFKA083199,Office,1.99,6,178
2016-04-01,GGOEWFKA083199,Office,1.59,0,0
