main_product_category,Warehouse Country,Bad (Delayed),Good (Early),Good (On Time),Total Shipments,Good_Percentage,Bad_Percentage
Accessories,Puerto Rico,62,42,30,134,53.73134328358209,46.26865671641791
Accessories,USA,125,63,50,238,47.47899159663865,52.52100840336135
Apparel,Puerto Rico,1319,1095,716,3130,57.8594249201278,42.14057507987221
Apparel,USA,2223,1723,1017,4963,55.20854321982672,44.791456780173284
Bags,Puerto Rico,2,1,1,4,50.0,50.0
Bags,USA,4,3,2,9,55.55555555555556,44.44444444444444
Electronics,Puerto Rico,185,186,84,455,59.34065934065934,40.65934065934066
Electronics,USA,318,286,146,750,57.599999999999994,42.4
Fun,Puerto Rico,645,504,237,1386,53.46320346320347,46.53679653679654
Fun,USA,995,746,458,2199,54.75216007276035,45.24783992723965
Housewares,Puerto Rico,18,26,7,51,64.70588235294117,35.294117647058826
Housewares,USA,25,55,11,91,72.52747252747253,27.472527472527474
Lifestyle,Puerto Rico,2805,2246,1643,6694,58.09680310726023,41.90319689273977
Lifestyle,USA,4694,3714,2303,10711,56.17589394080852,43.824106059191486
Office,Puerto Rico,8,11,1,20,60.0,40.0
Office,USA,14,17,5,36,61.111111111111114,38.88888888888889
