year_month,product_id,product_category,product_price,present_user_cnt,present_total_qty
2016-03-01,GGOEAAQB036114,Apparel,44.79,0,0
2016-03-01,GGOEAAWC061653,Apparel,19.19,2,2
2016-03-01,GGOEAAWH061553,Apparel,57.57,0,0
2016-03-01,GGOEAAWH061553,Apparel,19.19,0,0
2016-03-01,GGOEAAWT061753,Apparel,23.99,1,3
2016-03-01,GGOEAAWT061753,Apparel,19.19,0,0
2016-03-01,GGOEAAYC068756,Apparel,15.19,2,4
2016-03-01,GGOEAAYC068756,Apparel,18.99,2,7
2016-03-01,GGOEADHB014799,Drinkware,12.99,5,12
2016-03-01,GGOEADHB014799,Drinkware,103.92,0,0
2016-03-01,GGOEADHB014799,Drinkware,31.17,0,0
2016-03-01,GGOEADHB014799,Drinkware,10.39,6,8
2016-03-01,GGOEADHB014799,Drinkware,220.83,0,0
2016-03-01,GGOEADHB014799,Drinkware,259.8,0,0
2016-03-01,GGOEADHH055999,Drinkware,11.96,1,1
2016-03-01,GGOEADHH055999,Drinkware,59.75,2,19
2016-03-01,GGOEADHH055999,Drinkware,47.8,1,59
2016-03-01,GGOEADHH055999,Drinkware,2.99,4,8
2016-03-01,GGOEADHH055999,Drinkware,5.98,1,7
2016-03-01,GGOEADHH055999,Drinkware,2.39,0,0
2016-03-01,GGOEADHH055999,Drinkware,4.78,3,6
2016-03-01,GGOEADHH055999,Drinkware,29.9,0,0
2016-03-01,GGOEADHH055999,Drinkware,89.7,4,89
2016-03-01,GGOEADHH055999,Drinkware,59.8,0,0
2016-03-01,GGOEADHH055999,Drinkware,44.85,0,0
2016-03-01,GGOEADHH073999,Drinkware,91.14,0,0
2016-03-01,GGOEADHH073999,Drinkware,15.19,6,10
2016-03-01,GGOEADHH073999,Drinkware,18.99,1,3
2016-03-01,GGOEADHH073999,Drinkware,30.38,2,6
2016-03-01,GGOEAFKQ020499,Office,1.99,2,5
2016-03-01,GGOEAFKQ020499,Office,3.18,3,8
2016-03-01,GGOEAFKQ020499,Office,1.59,0,0
2016-03-01,GGOEAFKQ020499,Office,3.98,0,0
2016-03-01,GGOEAFKQ020499,Office,7.95,0,0
2016-03-01,GGOEAFKQ020499,Office,15.9,2,20
2016-03-01,GGOEAFKQ020499,Office,47.7,0,0
2016-03-01,GGOEAFKQ020499,Office,99.5,0,0
2016-03-01,GGOEAFKQ020499,Office,11.13,2,8
2016-03-01,GGOEAFKQ020499,Office,13.93,2,10
2016-03-01,GGOEAFKQ020499,Office,31.8,0,0
2016-03-01,GGOEAFKQ020499,Office,69.65,2,33
2016-03-01,GGOEAFKQ020499,Office,95.4,2,73
2016-03-01,GGOEAHPJ074410,Headgear,10.99,0,0
2016-03-01,GGOEAHPJ074410,Headgear,8.79,0,0
2016-03-01,GGOEAHPJ074410,Headgear,285.74,0,0
2016-03-01,GGOEAHPJ074410,Headgear,329.7,0,0
2016-03-01,GGOEAHPJ074410,Headgear,571.48,2,95
2016-03-01,GGOEAKDH019899,Lifestyle,3.19,5,17
2016-03-01,GGOEAKDH019899,Lifestyle,199.5,1,41
2016-03-01,GGOEAKDH019899,Lifestyle,3.99,19,32
2016-03-01,GGOEAKDH019899,Lifestyle,31.9,0,0
2016-03-01,GGOEAKDH019899,Lifestyle,11.97,2,13
2016-03-01,GGOEAKDH019899,Lifestyle,39.9,2,32
2016-03-01,GGOEAKDH019899,Lifestyle,7.98,0,0
2016-03-01,GGOEAKDH019899,Lifestyle,47.85,3,44
2016-03-01,GGOEAKDH019899,Lifestyle,15.95,0,0
2016-03-01,GGOEAKDH019899,Lifestyle,139.65,1,36
2016-03-01,GGOEAKDH019899,Lifestyle,175.56,0,0
2016-03-01,GGOEAKDH019899,Lifestyle,15.96,0,0
2016-03-01,GGOEAKDH019899,Lifestyle,79.8,2,19
2016-03-01,GGOEGAAB010514,Apparel,16.99,7,18
2016-03-01,GGOEGAAB010514,Apparel,33.98,2,75
2016-03-01,GGOEGAAB010514,Apparel,118.93,0,0
2016-03-01,GGOEGAAB010514,Apparel,13.59,2,3
2016-03-01,GGOEGAAB010514,Apparel,169.9,0,0
2016-03-01,GGOEGAAB010514,Apparel,27.18,0,0
2016-03-01,GGOEGAAB010514,Apparel,50.97,0,0
2016-03-01,GGOEGAAB010514,Apparel,424.75,2,186
2016-03-01,GGOEGAAH034014,Apparel,18.99,0,0
2016-03-01,GGOEGAAH034014,Apparel,37.98,1,2
2016-03-01,GGOEGAAH034014,Apparel,15.19,0,0
2016-03-01,GGOEGAAJ032316,Apparel,15.19,2,9
2016-03-01,GGOEGAAJ032316,Apparel,37.98,0,0
2016-03-01,GGOEGAAJ073414,Apparel,18.99,0,0
2016-03-01,GGOEGAAJ073414,Apparel,15.19,2,6
2016-03-01,GGOEGAAJ073414,Apparel,455.76,1,30
2016-03-01,GGOEGAAJ080615,Apparel,15.99,14,17
2016-03-01,GGOEGAAJ080615,Apparel,19.99,0,0
2016-03-01,GGOEGAAJ080615,Apparel,99.95,2,6
2016-03-01,GGOEGAAJ080616,Apparel,15.99,1,7
2016-03-01,GGOEGAAJ080616,Apparel,31.98,1,4
2016-03-01,GGOEGAAJ080616,Apparel,99.95,2,5
2016-03-01,GGOEGAAJ080616,Apparel,19.99,0,0
2016-03-01,GGOEGAAL010614,Apparel,16.99,9,10
2016-03-01,GGOEGAAL010614,Apparel,13.59,2,12
2016-03-01,GGOEGAAL010614,Apparel,33.98,2,3
2016-03-01,GGOEGAAL010615,Apparel,13.59,0,0
2016-03-01,GGOEGAAL010615,Apparel,16.99,1,10
2016-03-01,GGOEGAAL010615,Apparel,33.98,0,0
2016-03-01,GGOEGAAL010615,Apparel,27.18,1,1
2016-03-01,GGOEGAAL010615,Apparel,50.97,1,14
2016-03-01,GGOEGAAL059015,Apparel,17.59,7,9
2016-03-01,GGOEGAAL059015,Apparel,21.99,4,4
2016-03-01,GGOEGAAQ010413,Apparel,16.99,12,16
2016-03-01,GGOEGAAQ010413,Apparel,254.85,0,0
2016-03-01,GGOEGAAQ010413,Apparel,271.84,1,17
2016-03-01,GGOEGAAQ010413,Apparel,135.9,1,13
2016-03-01,GGOEGAAQ010413,Apparel,13.59,5,5
2016-03-01,GGOEGAAQ010413,Apparel,27.18,4,4
2016-03-01,GGOEGAAQ010414,Apparel,16.99,12,28
2016-03-01,GGOEGAAQ010414,Apparel,33.98,0,0
2016-03-01,GGOEGAAQ010414,Apparel,67.95,3,26
2016-03-01,GGOEGAAQ010414,Apparel,13.59,0,0
2016-03-01,GGOEGAAQ010414,Apparel,135.9,2,13
2016-03-01,GGOEGAAR010714,Apparel,16.99,5,8
2016-03-01,GGOEGAAR010714,Apparel,13.59,0,0
2016-03-01,GGOEGAAR010714,Apparel,81.54,1,1
2016-03-01,GGOEGAAR010714,Apparel,95.13,2,8
2016-03-01,GGOEGADB056616,Apparel,92.99,1,1
2016-03-01,GGOEGADB056616,Apparel,846.17,0,0
2016-03-01,GGOEGADB056616,Apparel,52.07,6,6
2016-03-01,GGOEGADB056616,Apparel,65.09,3,4
2016-03-01,GGOEGADB056715,Apparel,79.19,0,0
2016-03-01,GGOEGADB057316,Apparel,59.99,2,2
2016-03-01,GGOEGADB059614,Apparel,59.99,2,8
2016-03-01,GGOEGADB059614,Apparel,74.99,3,5
2016-03-01,GGOEGADJ056814,Apparel,87.99,0,0
2016-03-01,GGOEGADJ056814,Apparel,76.99,4,16
2016-03-01,GGOEGADJ056814,Apparel,1.539,1,25
2016-03-01,GGOEGADJ056814,Apparel,2.078,1,17
2016-03-01,GGOEGADJ056814,Apparel,61.59,5,7
2016-03-01,GGOEGAEA030414,Apparel,15.99,0,0
2016-03-01,GGOEGAEA030415,Apparel,15.99,1,2
2016-03-01,GGOEGAEJ031313,Apparel,31.99,2,6
2016-03-01,GGOEGAEQ027913,Apparel,16.99,13,21
2016-03-01,GGOEGAEQ027913,Apparel,611.64,1,31
2016-03-01,GGOEGAEQ027913,Apparel,67.95,0,0
2016-03-01,GGOEGAEQ027913,Apparel,13.59,0,0
2016-03-01,GGOEGAEQ027913,Apparel,33.98,0,0
2016-03-01,GGOEGAEQ027915,Apparel,16.99,5,6
2016-03-01,GGOEGAEQ027915,Apparel,611.64,1,29
2016-03-01,GGOEGAEQ027915,Apparel,13.59,7,7
2016-03-01,GGOEGAEQ027915,Apparel,108.72,1,13
2016-03-01,GGOEGAEQ027916,Apparel,16.99,0,0
2016-03-01,GGOEGAEQ027916,Apparel,33.98,2,2
2016-03-01,GGOEGAEQ027916,Apparel,13.59,3,4
2016-03-01,GGOEGAEQ027916,Apparel,679.6,2,233
2016-03-01,GGOEGAER029715,Apparel,15.19,1,1
2016-03-01,GGOEGAER033216,Apparel,24.99,0,0
2016-03-01,GGOEGAFB035813,Apparel,55.99,0,0
2016-03-01,GGOEGAFB035813,Apparel,44.79,0,0
2016-03-01,GGOEGAFB035814,Apparel,44.79,7,13
2016-03-01,GGOEGAFB035814,Apparel,111.98,2,3
2016-03-01,GGOEGAFB035814,Apparel,55.99,3,7
2016-03-01,GGOEGAFB035814,Apparel,89.58,1,4
2016-03-01,GGOEGAFB035814,Apparel,134.37,1,10
2016-03-01,GGOEGAFB035815,Apparel,44.79,9,10
2016-03-01,GGOEGAFB035815,Apparel,167.97,0,0
2016-03-01,GGOEGAFB035815,Apparel,55.99,6,9
2016-03-01,GGOEGAFB035815,Apparel,134.37,1,10
2016-03-01,GGOEGALB034115,Apparel,18.99,0,0
2016-03-01,GGOEGALB059913,Apparel,17.59,2,2
2016-03-01,GGOEGALJ036415,Apparel,23.99,0,0
2016-03-01,GGOEGALJ060113,Apparel,17.59,1,1
2016-03-01,GGOEGALJ060113,Apparel,52.77,2,4
2016-03-01,GGOEGALJ073317,Apparel,18.99,1,1
2016-03-01,GGOEGALJ073317,Apparel,37.98,1,1
2016-03-01,GGOEGALJ073317,Apparel,474.75,0,0
2016-03-01,GGOEGALP036314,Apparel,19.19,2,8
2016-03-01,GGOEGALP036315,Apparel,19.19,4,6
2016-03-01,GGOEGALQ034214,Apparel,15.19,0,0
2016-03-01,GGOEGALQ034214,Apparel,18.99,0,0
2016-03-01,GGOEGALQ034214,Apparel,56.97,1,4
2016-03-01,GGOEGAPB057614,Apparel,172.78,1,1
2016-03-01,GGOEGAPB058215,Apparel,59.99,2,3
2016-03-01,GGOEGAPB058216,Apparel,74.99,1,3
2016-03-01,GGOEGAQB036014,Apparel,44.79,10,12
2016-03-01,GGOEGAQB036014,Apparel,55.99,0,0
2016-03-01,GGOEGAQB036015,Apparel,55.99,0,0
2016-03-01,GGOEGAQB036015,Apparel,44.79,1,7
2016-03-01,GGOEGAWC062848,Apparel,30.39,5,7
2016-03-01,GGOEGAWC062848,Apparel,37.99,3,4
2016-03-01,GGOEGAWC062850,Apparel,30.39,0,0
2016-03-01,GGOEGAWN062748,Apparel,60.78,1,3
2016-03-01,GGOEGAWN062748,Apparel,30.39,0,0
2016-03-01,GGOEGAWN062748,Apparel,37.99,1,5
2016-03-01,GGOEGAWN062750,Apparel,30.39,6,6
2016-03-01,GGOEGAWN062750,Apparel,37.99,4,4
2016-03-01,GGOEGAWR061048,Apparel,23.99,1,2
2016-03-01,GGOEGAWR061048,Apparel,71.97,1,5
2016-03-01,GGOEGAWR061048,Apparel,19.19,0,0
2016-03-01,GGOEGAXL065928,Apparel,19.19,1,4
2016-03-01,GGOEGAXL065928,Apparel,431.82,1,16
2016-03-01,GGOEGAXQ067128,Apparel,13.59,1,3
2016-03-01,GGOEGAXQ067128,Apparel,16.99,0,0
2016-03-01,GGOEGAYH067925,Apparel,15.19,0,0
2016-03-01,GGOEGAYH067926,Apparel,15.19,2,5
2016-03-01,GGOEGAYH068425,Apparel,15.19,1,2
2016-03-01,GGOEGBCR024399,Bags,13.99,6,6
2016-03-01,GGOEGBCR024399,Bags,27.98,3,4
2016-03-01,GGOEGBCR024399,Bags,44.76,0,0
2016-03-01,GGOEGBCR024399,Bags,78.33,4,8
2016-03-01,GGOEGBCR024399,Bags,167.85,2,15
2016-03-01,GGOEGBCR024399,Bags,55.95,1,2
2016-03-01,GGOEGBCR024399,Bags,335.7,1,102
2016-03-01,GGOEGBCR024399,Bags,11.19,0,0
2016-03-01,GGOEGBCR024399,Bags,69.95,1,7
2016-03-01,GGOEGBJC019999,Bags,3.99,2,5
2016-03-01,GGOEGBJC019999,Bags,4.99,7,7
2016-03-01,GGOEGBJC019999,Bags,14.97,3,10
2016-03-01,GGOEGBJC019999,Bags,79.8,2,22
2016-03-01,GGOEGBJC019999,Bags,9.98,5,15
2016-03-01,GGOEGBJC019999,Bags,91.77,1,19
2016-03-01,GGOEGBJC019999,Bags,23.94,1,6
2016-03-01,GGOEGBJC019999,Bags,31.92,1,13
2016-03-01,GGOEGBJC019999,Bags,84.83,1,15
2016-03-01,GGOEGBJC019999,Bags,39.9,2,31
2016-03-01,GGOEGBJC019999,Bags,24.95,1,6
2016-03-01,GGOEGBJC019999,Bags,19.96,3,7
2016-03-01,GGOEGBJC019999,Bags,124.75,1,25
2016-03-01,GGOEGBJC019999,Bags,7.98,1,1
2016-03-01,GGOEGBJC019999,Bags,399.2,1,166
2016-03-01,GGOEGBJC019999,Bags,11.97,3,3
2016-03-01,GGOEGBJC019999,Bags,19.95,0,0
2016-03-01,GGOEGBJL013999,Bags,25.58,0,0
2016-03-01,GGOEGBJL013999,Bags,38.37,0,0
2016-03-01,GGOEGBJL013999,Bags,12.79,8,11
2016-03-01,GGOEGBJL013999,Bags,15.99,6,8
2016-03-01,GGOEGBJL013999,Bags,51.16,1,16
2016-03-01,GGOEGBJL013999,Bags,127.9,0,0
2016-03-01,GGOEGBJL013999,Bags,31.98,0,0
2016-03-01,GGOEGBJL013999,Bags,191.85,0,0
2016-03-01,GGOEGBJL013999,Bags,479.7,1,53
2016-03-01,GGOEGBJL013999,Bags,63.95,3,17
2016-03-01,GGOEGBJL013999,Bags,204.64,1,14
2016-03-01,GGOEGBJL013999,Bags,47.97,1,5
2016-03-01,GGOEGBMJ013399,Bags,7.98,4,4
2016-03-01,GGOEGBMJ013399,Bags,9.98,1,3
2016-03-01,GGOEGBMJ013399,Bags,24.95,0,0
2016-03-01,GGOEGBMJ013399,Bags,15.96,0,0
2016-03-01,GGOEGBMJ013399,Bags,59.85,1,20
2016-03-01,GGOEGBMJ013399,Bags,14.97,0,0
2016-03-01,GGOEGBMJ013399,Bags,51.87,1,15
2016-03-01,GGOEGBMJ013399,Bags,74.85,1,19
2016-03-01,GGOEGBMJ013399,Bags,4.99,0,0
2016-03-01,GGOEGBMJ013399,Bags,19.95,0,0
2016-03-01,GGOEGBMJ013399,Bags,159.68,4,120
2016-03-01,GGOEGBMJ013399,Bags,23.94,2,12
2016-03-01,GGOEGBMJ013399,Bags,39.9,3,34
2016-03-01,GGOEGBMJ013399,Bags,99.8,3,42
2016-03-01,GGOEGBMJ013399,Bags,174.65,0,0
2016-03-01,GGOEGBMJ013399,Bags,99.75,3,88
2016-03-01,GGOEGBMJ013399,Bags,11.97,0,0
2016-03-01,GGOEGBMJ013399,Bags,139.65,1,108
2016-03-01,GGOEGBMJ013399,Bags,31.92,2,19
2016-03-01,GGOEGBMJ013399,Bags,47.88,0,0
2016-03-01,GGOEGBMJ013399,Bags,159.6,0,0
2016-03-01,GGOEGBMJ013399,Bags,127.68,0,0
2016-03-01,GGOEGBMJ013399,Bags,3.99,5,7
2016-03-01,GGOEGBMJ013399,Bags,623.75,0,0
2016-03-01,GGOEGBMJ013399,Bags,499.0,0,0
2016-03-01,GGOEGBMJ013399,Bags,79.8,1,47
2016-03-01,GGOEGBRJ037299,Bags,199.98,0,0
2016-03-01,GGOEGBRJ037299,Bags,99.99,14,16
2016-03-01,GGOEGBRJ037299,Bags,79.99,10,12
2016-03-01,GGOEGBRJ037399,Bags,55.99,5,8
2016-03-01,GGOEGBRJ037399,Bags,69.99,16,24
2016-03-01,GGOEGBRJ037399,Bags,111.98,0,0
2016-03-01,GGOEGBRJ037399,Bags,167.97,0,0
2016-03-01,GGOEGBRJ037399,Bags,139.98,1,30
2016-03-01,GGOEGBRJ037399,Bags,727.87,3,27
2016-03-01,GGOEGCBC074299,Electronics,4.99,0,0
2016-03-01,GGOEGCBC074299,Electronics,14.97,0,0
2016-03-01,GGOEGCBC074299,Electronics,74.85,1,12
2016-03-01,GGOEGCBC074299,Electronics,49.9,1,8
2016-03-01,GGOEGCBC074299,Electronics,499.0,1,91
2016-03-01,GGOEGCBC074299,Electronics,9.98,2,5
2016-03-01,GGOEGCBQ016499,Housewares,25.0,1,9
2016-03-01,GGOEGCBQ016499,Housewares,2.5,3,3
2016-03-01,GGOEGCBQ016499,Housewares,62.5,1,36
2016-03-01,GGOEGCBQ016499,Housewares,50.0,4,45
2016-03-01,GGOEGCBQ016499,Housewares,10.0,1,6
2016-03-01,GGOEGCBQ016499,Housewares,2.0,1,3
2016-03-01,GGOEGCBQ016499,Housewares,37.5,3,18
2016-03-01,GGOEGCBQ016499,Housewares,60.0,3,30
2016-03-01,GGOEGCBQ016499,Housewares,70.0,0,0
2016-03-01,GGOEGCBQ016499,Housewares,75.0,2,29
2016-03-01,GGOEGCBQ016499,Housewares,16.0,1,5
2016-03-01,GGOEGCBQ016499,Housewares,87.5,2,35
2016-03-01,GGOEGCBQ016499,Housewares,5.0,1,2
2016-03-01,GGOEGCBQ016499,Housewares,20.0,0,0
2016-03-01,GGOEGCKQ013199,Drinkware,99.5,1,141
2016-03-01,GGOEGCKQ013199,Drinkware,9.95,0,0
2016-03-01,GGOEGCKQ013199,Drinkware,1.99,0,0
2016-03-01,GGOEGCKQ013199,Drinkware,5.97,2,19
2016-03-01,GGOEGCKQ013199,Drinkware,79.6,0,0
2016-03-01,GGOEGCKQ013199,Drinkware,7.95,1,9
2016-03-01,GGOEGCKQ013199,Drinkware,69.65,1,34
2016-03-01,GGOEGCKQ013199,Drinkware,15.9,5,45
2016-03-01,GGOEGCKQ013199,Drinkware,199.0,0,0
2016-03-01,GGOEGDHC018299,Drinkware,7.17,1,2
2016-03-01,GGOEGDHC018299,Drinkware,29.9,6,25
