year_month,product_id,product_category,product_price,present_user_cnt,present_total_qty
2016-03-01,GGOEAAQB036114,Apparel,44.79,0,0
2016-03-01,GGOEAAWC061653,Apparel,19.19,0,0
2016-03-01,GGOEAAWH061553,Apparel,19.19,0,0
2016-03-01,GGOEAAWT061753,Apparel,23.99,0,0
2016-03-01,GGOEAAWT061753,Apparel,19.19,0,0
2016-03-01,GGOEAAYC068756,Apparel,15.19,2,2
2016-03-01,GGOEAAYC068756,Apparel,18.99,2,4
2016-03-01,GGOEADHH055999,Drinkware,2.39,5,57
2016-03-01,GGOEADHH055999,Drinkware,2.99,7,108
2016-03-01,GGOEAHPJ074410,Headgear,10.99,4,67
2016-03-01,GGOEAHPJ074410,Headgear,8.79,1,1
2016-03-01,GGOEAKDH019899,Lifestyle,3.19,12,54
2016-03-01,GGOEAKDH019899,Lifestyle,3.99,17,154
2016-03-01,GGOEGAAJ032316,Apparel,15.19,5,6
2016-03-01,GGOEGAAJ032316,Apparel,18.99,0,0
2016-03-01,GGOEGAAJ073414,Apparel,18.99,0,0
2016-03-01,GGOEGAAJ073414,Apparel,15.19,0,0
2016-03-01,GGOEGAAJ080616,Apparel,15.99,0,0
2016-03-01,GGOEGAAJ080616,Apparel,19.99,0,0
2016-03-01,GGOEGAAL010615,Apparel,13.59,8,8
2016-03-01,GGOEGAAL010615,Apparel,16.99,8,16
2016-03-01,GGOEGAAL059015,Apparel,17.59,1,5
2016-03-01,GGOEGAAL059015,Apparel,21.99,0,0
2016-03-01,GGOEGAAQ010414,Apparel,16.99,7,12
2016-03-01,GGOEGAAQ010414,Apparel,13.59,3,20
2016-03-01,GGOEGAAR010714,Apparel,16.99,3,4
2016-03-01,GGOEGAAR010714,Apparel,13.59,3,10
2016-03-01,GGOEGADB056616,Apparel,92.99,0,0
2016-03-01,GGOEGADB056616,Apparel,65.09,0,0
2016-03-01,GGOEGADB056616,Apparel,52.07,1,1
2016-03-01,GGOEGADB057316,Apparel,59.99,0,0
2016-03-01,GGOEGADB059614,Apparel,59.99,3,3
2016-03-01,GGOEGADB059614,Apparel,74.99,0,0
2016-03-01,GGOEGAEA030415,Apparel,15.99,0,0
2016-03-01,GGOEGAEJ031313,Apparel,31.99,0,0
2016-03-01,GGOEGAEQ027913,Apparel,16.99,0,0
2016-03-01,GGOEGAEQ027913,Apparel,13.59,3,5
2016-03-01,GGOEGAEQ027916,Apparel,16.99,0,0
2016-03-01,GGOEGAEQ027916,Apparel,13.59,0,0
2016-03-01,GGOEGAER029715,Apparel,15.19,0,0
2016-03-01,GGOEGAER033216,Apparel,24.99,1,3
2016-03-01,GGOEGAFB035813,Apparel,55.99,1,2
2016-03-01,GGOEGAFB035813,Apparel,44.79,2,2
2016-03-01,GGOEGAFB035815,Apparel,44.79,4,6
2016-03-01,GGOEGAFB035815,Apparel,55.99,1,1
2016-03-01,GGOEGALB034115,Apparel,18.99,0,0
2016-03-01,GGOEGALJ036415,Apparel,23.99,0,0
2016-03-01,GGOEGALJ073317,Apparel,18.99,0,0
2016-03-01,GGOEGALP036314,Apparel,19.19,2,2
2016-03-01,GGOEGALQ034214,Apparel,18.99,5,8
2016-03-01,GGOEGALQ034214,Apparel,15.19,1,1
2016-03-01,GGOEGAPB058215,Apparel,59.99,0,0
2016-03-01,GGOEGAQB036014,Apparel,44.79,5,9
2016-03-01,GGOEGAQB036014,Apparel,55.99,3,6
2016-03-01,GGOEGAQB036015,Apparel,55.99,0,0
2016-03-01,GGOEGAWC062848,Apparel,30.39,1,4
2016-03-01,GGOEGAWC062848,Apparel,37.99,1,2
2016-03-01,GGOEGAWC062850,Apparel,30.39,3,3
2016-03-01,GGOEGAWN062748,Apparel,30.39,3,4
2016-03-01,GGOEGAWN062750,Apparel,30.39,3,5
2016-03-01,GGOEGAWN062750,Apparel,37.99,2,4
2016-03-01,GGOEGAWR061048,Apparel,23.99,0,0
2016-03-01,GGOEGAWR061048,Apparel,19.19,0,0
2016-03-01,GGOEGAXL065928,Apparel,19.19,0,0
2016-03-01,GGOEGAXQ067128,Apparel,13.59,0,0
2016-03-01,GGOEGBCR024399,Bags,13.99,3,6
2016-03-01,GGOEGBCR024399,Bags,11.19,4,66
2016-03-01,GGOEGBJC019999,Bags,3.99,5,81
2016-03-01,GGOEGBJC019999,Bags,4.99,9,138
2016-03-01,GGOEGBJL013999,Bags,12.79,15,78
2016-03-01,GGOEGBJL013999,Bags,15.99,4,48
2016-03-01,GGOEGBRJ037399,Bags,55.99,3,14
2016-03-01,GGOEGBRJ037399,Bags,69.99,4,10
2016-03-01,GGOEGCBQ016499,Housewares,2.5,9,112
2016-03-01,GGOEGCBQ016499,Housewares,2.0,1,107
2016-03-01,GGOEGCKQ013199,Drinkware,1.99,7,386
2016-03-01,GGOEGCKQ013199,Drinkware,1.59,3,17
2016-03-01,GGOEGDHB071999,Drinkware,33.99,1,1
2016-03-01,GGOEGDHB071999,Drinkware,27.19,1,2
2016-03-01,GGOEGDHC018299,Drinkware,2.39,26,470
2016-03-01,GGOEGDHC018299,Drinkware,2.99,25,331
2016-03-01,GGOEGDHC074099,Drinkware,18.99,3,68
2016-03-01,GGOEGDHC074099,Drinkware,15.19,14,69
2016-03-01,GGOEGDHC082299,Drinkware,11.19,6,80
2016-03-01,GGOEGDHC082299,Drinkware,13.99,3,24
2016-03-01,GGOEGDHJ082599,Drinkware,24.99,0,0
2016-03-01,GGOEGDHJ082599,Drinkware,19.99,11,55
2016-03-01,GGOEGDHQ015399,Drinkware,19.99,22,77
2016-03-01,GGOEGDHQ015399,Drinkware,24.99,9,14
2016-03-01,GGOEGDHR018499,Drinkware,2.99,14,172
2016-03-01,GGOEGDHR018499,Drinkware,2.39,13,148
2016-03-01,GGOEGDWC020199,Drinkware,8.99,18,70
2016-03-01,GGOEGDWC020199,Drinkware,7.19,13,90
2016-03-01,GGOEGEHQ072499,Electronics,22.99,1,4
2016-03-01,GGOEGEHQ072499,Electronics,18.39,1,23
2016-03-01,GGOEGESB015199,Electronics,59.99,0,0
2016-03-01,GGOEGETR014599,Electronics,16.99,4,37
2016-03-01,GGOEGETR014599,Electronics,13.59,3,85
2016-03-01,GGOEGFKQ020399,Office,1.59,24,318
2016-03-01,GGOEGFKQ020399,Office,1.99,25,134
2016-03-01,GGOEGFKQ020799,Office,2.39,5,21
2016-03-01,GGOEGFKQ020799,Office,2.99,4,7
2016-03-01,GGOEGFSR022099,Lifestyle,1.99,8,162
2016-03-01,GGOEGFSR022099,Lifestyle,1.59,11,54
2016-03-01,GGOEGFYQ016599,Drinkware,1.99,10,196
2016-03-01,GGOEGFYQ016599,Drinkware,1.59,11,105
2016-03-01,GGOEGGOA017399,Office,0.99,20,728
2016-03-01,GGOEGGOA017399,Office,0.79,11,645
2016-03-01,GGOEGHGH019699,Lifestyle,2.8,13,117
2016-03-01,GGOEGHGH019699,Lifestyle,3.5,8,163
2016-03-01,GGOEGHPB071610,Headgear,10.99,18,114
2016-03-01,GGOEGHPB071610,Headgear,8.79,10,21
2016-03-01,GGOEGHPJ080010,Headgear,18.99,2,2
2016-03-01,GGOEGKAA019299,Office,1.59,4,36
2016-03-01,GGOEGKAA019299,Office,1.99,10,68
2016-03-01,GGOEGOAB021699,Office,1.99,10,460
2016-03-01,GGOEGOAB021699,Office,1.59,1,45
2016-03-01,GGOEGOAC021799,Office,0.79,9,630
2016-03-01,GGOEGOAC021799,Office,0.99,2,102
2016-03-01,GGOEGOAQ020099,Office,2.99,15,105
2016-03-01,GGOEGOAQ020099,Office,2.39,5,108
2016-03-01,GGOEGOAR013099,Office,5.5,4,79
2016-03-01,GGOEGOAR013099,Office,4.4,1,30
2016-03-01,GGOEGOBG023599,Office,2.99,6,23
