month,product_category,mean_price_elasticity
2016-03,Accessories,6.470000000000001
2016-03,Apparel,28.156941896024463
2016-03,Bags,39.122972972972974
2016-03,Drinkware,13.145333333333333
2016-03,Electronics,33.68513513513514
2016-03,Fun,7.19
2016-03,Gift Cards,137.5
2016-03,Headgear,19.413076923076922
2016-03,Housewares,2.25
2016-03,Lifestyle,7.817058823529411
2016-03,Notebooks & Journals,14.834444444444445
2016-03,Office,4.674545454545455
2016-04,Accessories,8.43
2016-04,Apparel,23.892972181551976
2016-04,Bags,41.604857142857135
2016-04,Drinkware,11.802075471698114
2016-04,Electronics,28.293
2016-04,Fun,8.39
2016-04,Gift Cards,108.33333333333333
2016-04,Headgear,17.583714285714283
2016-04,Housewares,2.25
2016-04,Lifestyle,6.91448275862069
2016-04,Notebooks & Journals,12.203793103448275
2016-04,Office,4.888414634146342
2016-05,Accessories,10.89
2016-05,Apparel,22.902667706708268
2016-05,Bags,41.46527777777778
2016-05,Drinkware,11.51888888888889
2016-05,Electronics,26.41875
2016-05,Fun,8.39
2016-05,Gift Cards,58.333333333333336
2016-05,Headgear,17.9284
2016-05,Housewares,2.25
2016-05,Lifestyle,7.378571428571429
2016-05,Notebooks & Journals,12.215925925925925
2016-05,Office,4.744487179487179
2016-06,Accessories,9.29
2016-06,Apparel,22.270417335473514
2016-06,Bags,39.89
2016-06,Drinkware,10.822
2016-06,Electronics,29.684545454545457
2016-06,Fun,8.09
2016-06,Gift Cards,62.5
2016-06,Headgear,16.756923076923076
2016-06,Housewares,2.25
2016-06,Lifestyle,7.032424242424242
2016-06,Notebooks & Journals,11.43
2016-06,Office,4.831846153846154
2016-07,Accessories,11.29
2016-07,Apparel,19.267974193548387
2016-07,Bags,39.81128205128205
2016-07,Drinkware,10.067837837837837
2016-07,Electronics,22.76848484848485
2016-07,Fun,5.096666666666667
2016-07,Gift Cards,58.333333333333336
2016-07,Headgear,15.673548387096774
2016-07,Housewares,1.8833333333333335
2016-07,Lifestyle,5.669069767441861
2016-07,Notebooks & Journals,9.950303030303031
2016-07,Office,4.264354838709677
2016-08,Accessories,nan
2016-08,Apparel,74.73685940894313
2016-08,Bags,27.972884377689915
2016-08,Drinkware,40.91218872304513
2016-08,Electronics,-0.23699245742809036
2016-08,Gift Cards,-0.4
2016-08,Headgear,nan
2016-08,Housewares,-2.1000000000000005
2016-08,Lifestyle,-26.66824396553712
2016-08,Notebooks & Journals,-118.73929450880948
2016-08,Office,7.92218048354769
2016-09,Accessories,6.234999999999996
2016-09,Apparel,0.6553449194171106
2016-09,Bags,-2.0438605890601083
2016-09,Drinkware,-7.53868046413166
2016-09,Electronics,-4.759060340788296
2016-09,Gift Cards,-0.642857142857143
2016-09,Headgear,-4.007078935704576
2016-09,Housewares,-10.100000000000001
2016-09,Lifestyle,-188.57498714623233
2016-09,Notebooks & Journals,-73.2532263987918
2016-09,Office,-35.96475910225195
2016-10,Accessories,nan
2016-10,Apparel,-2.7900822520408317
2016-10,Bags,-14.413225627663815
2016-10,Drinkware,-6.263313361374599
2016-10,Electronics,-3.0693519000908562
2016-10,Gift Cards,2.3
2016-10,Headgear,32.10305770221124
2016-10,Housewares,7.927272727272727
2016-10,Lifestyle,28.77298094638688
2016-10,Notebooks & Journals,-5.141161597393313
2016-10,Office,-306.1071980563082
2016-11,Accessories,nan
2016-11,Apparel,-1.1627011326413508
2016-11,Bags,-2.5598178917048293
2016-11,Drinkware,-6.9162516972704156
2016-11,Electronics,-5.617826205541192
2016-11,Gift Cards,nan
2016-11,Headgear,-18.25610203002305
2016-11,Housewares,-12.850000000000001
2016-11,Lifestyle,-4.439357741486026
2016-11,Notebooks & Journals,-8.391272198080092
2016-11,Office,-17.64660050364131
2016-12,Accessories,nan
2016-12,Apparel,2.3451458401896677
2016-12,Bags,-25.288283465313352
2016-12,Drinkware,-11.367931339544532
2016-12,Electronics,0.37970169247478475
2016-12,Fun,nan
2016-12,Gift Cards,nan
2016-12,Headgear,42.99440482547801
2016-12,Housewares,-115.88454545454549
2016-12,Lifestyle,-5.4856273448395925
2016-12,Notebooks & Journals,-10.001293537105662
2016-12,Office,8.392925387977007
2017-01,Accessories,2.005258680555556
2017-01,Apparel,1.8681435161548237
2017-01,Bags,-2.09322980526404
2017-01,Drinkware,8.227907740099658
2017-01,Electronics,-10.753479188683649
2017-01,Fun,nan
2017-01,Gift Cards,3.25
2017-01,Headgear,0.4657361069003601
2017-01,Housewares,2.555555555555556
2017-01,Lifestyle,40.29206867673668
2017-01,Notebooks & Journals,-23.202621774873933
2017-01,Office,19.395037915756873
2017-02,Accessories,nan
2017-02,Apparel,-100.60849235135319
2017-02,Bags,-14.904538851552804
2017-02,Drinkware,-14.699578487396982
2017-02,Electronics,1.2969635082476687
2017-02,Fun,-1.5977777777777782
2017-02,Gift Cards,-0.38888888888888884
2017-02,Headgear,5.727981154821891
2017-02,Housewares,28.053878089543726
2017-02,Lifestyle,-41.45106843558056
2017-02,Notebooks & Journals,-30.295388188215966
2017-02,Office,17.12683075503151
2017-03,Accessories,nan
2017-03,Apparel,-9.214989234312082
2017-03,Bags,-13.65143379167945
2017-03,Drinkware,-113.83243847594908
2017-03,Electronics,2.9596797801181416
2017-03,Gift Cards,-1.6666666666666665
2017-03,Headgear,-0.2076874424711364
2017-03,Housewares,-0.881538461538463
2017-03,Lifestyle,3.5279191619159525
2017-03,Notebooks & Journals,-38.88696499567012
2017-03,Office,-4.623574593999911
2017-04,Accessories,nan
2017-04,Apparel,57.641077497786846
2017-04,Bags,-2.429692065518069
2017-04,Drinkware,9.383945312506361
2017-04,Electronics,-2.172553999479042
2017-04,Fun,nan
2017-04,Gift Cards,nan
2017-04,Headgear,-9.151460005103994
2017-04,Housewares,nan
2017-04,Lifestyle,-3.5987321369580756
2017-04,Notebooks & Journals,39.84534556852252
2017-04,Office,-2.7919886512882117
2017-05,Accessories,nan
2017-05,Apparel,3.7898366713347738
2017-05,Bags,-3.9140211612638853
2017-05,Drinkware,0.856682160617755
2017-05,Electronics,-8.316105743131427
2017-05,Fun,23.970162037037042
2017-05,Gift Cards,-0.42230576441102763
2017-05,Headgear,75.87614614839052
2017-05,Housewares,-5.261944444444447
2017-05,Lifestyle,21.616211328426772
2017-05,Notebooks & Journals,-0.7558554956312319
2017-05,Office,-1.3233835937254814
2017-06,Accessories,nan
2017-06,Apparel,3.8641123871613714
2017-06,Bags,0.2822959167717193
2017-06,Drinkware,3.9215715156702853
2017-06,Electronics,-4.857236099372473
2017-06,Fun,nan
2017-06,Gift Cards,nan
2017-06,Headgear,-5.051168113855178
2017-06,Housewares,-33.60761904761905
2017-06,Lifestyle,-38.19568380938055
2017-06,Notebooks & Journals,17.414912949906185
2017-06,Office,12.927463896427678
2017-07,Accessories,0.0
2017-07,Apparel,146.16228733795649
2017-07,Bags,7.191866249648542
2017-07,Drinkware,-18.8479881449063
2017-07,Electronics,2.0206496503493763
2017-07,Fun,16.739087653293783
2017-07,Gift Cards,nan
2017-07,Headgear,nan
2017-07,Housewares,nan
2017-07,Lifestyle,1.228165277846646
2017-07,Notebooks & Journals,-49.055969874695215
2017-07,Office,20.815820486658893
