year_month,product_id,product_price,present_user_cnt,present_total_qty
2016-03-01,GGOEAAQB036114,44.79,0,0
2016-03-01,GGOEAAWC061653,19.19,2,2
2016-03-01,GGOEAAWH061553,57.57,0,0
2016-03-01,GGOEAAWH061553,19.19,0,0
2016-03-01,GGOEAAWT061753,23.99,1,3
2016-03-01,GGOEAAWT061753,19.19,0,0
2016-03-01,GGOEAAYC068756,15.19,2,4
2016-03-01,GGOEAAYC068756,18.99,2,7
2016-03-01,GGOEADHB014799,12.99,5,12
2016-03-01,GGOEADHB014799,103.92,0,0
2016-03-01,GGOEADHB014799,31.17,0,0
2016-03-01,GGOEADHB014799,10.39,6,8
2016-03-01,GGOEADHB014799,220.83,0,0
2016-03-01,GGOEADHB014799,259.8,0,0
2016-03-01,GGOEADHH055999,11.96,1,1
2016-03-01,GGOEADHH055999,59.75,2,19
2016-03-01,GGOEADHH055999,47.8,1,59
2016-03-01,GGOEADHH055999,2.99,4,8
2016-03-01,GGOEADHH055999,5.98,1,7
2016-03-01,GGOEADHH055999,2.39,0,0
2016-03-01,GGOEADHH055999,4.78,3,6
2016-03-01,GGOEADHH055999,29.9,0,0
2016-03-01,GGOEADHH055999,89.7,4,89
2016-03-01,GGOEADHH055999,59.8,0,0
2016-03-01,GGOEADHH055999,44.85,0,0
2016-03-01,GGOEADHH073999,91.14,0,0
2016-03-01,GGOEADHH073999,15.19,6,10
2016-03-01,GGOEADHH073999,18.99,1,3
2016-03-01,GGOEADHH073999,30.38,2,6
2016-03-01,GGOEAFKQ020499,1.99,2,5
2016-03-01,GGOEAFKQ020499,3.18,3,8
2016-03-01,GGOEAFKQ020499,1.59,0,0
2016-03-01,GGOEAFKQ020499,3.98,0,0
2016-03-01,GGOEAFKQ020499,7.95,0,0
2016-03-01,GGOEAFKQ020499,15.9,2,20
2016-03-01,GGOEAFKQ020499,47.7,0,0
2016-03-01,GGOEAFKQ020499,99.5,0,0
2016-03-01,GGOEAFKQ020499,11.13,2,8
2016-03-01,GGOEAFKQ020499,13.93,2,10
2016-03-01,GGOEAFKQ020499,31.8,0,0
2016-03-01,GGOEAFKQ020499,69.65,2,33
2016-03-01,GGOEAFKQ020499,95.4,2,73
2016-03-01,GGOEAHPJ074410,10.99,0,0
2016-03-01,GGOEAHPJ074410,8.79,0,0
2016-03-01,GGOEAHPJ074410,285.74,0,0
2016-03-01,GGOEAHPJ074410,329.7,0,0
2016-03-01,GGOEAHPJ074410,571.48,2,95
2016-03-01,GGOEAKDH019899,3.19,5,17
2016-03-01,GGOEAKDH019899,199.5,1,41
2016-03-01,GGOEAKDH019899,3.99,19,32
2016-03-01,GGOEAKDH019899,31.9,0,0
2016-03-01,GGOEAKDH019899,11.97,2,13
2016-03-01,GGOEAKDH019899,39.9,2,32
2016-03-01,GGOEAKDH019899,7.98,0,0
2016-03-01,GGOEAKDH019899,47.85,3,44
2016-03-01,GGOEAKDH019899,15.95,0,0
2016-03-01,GGOEAKDH019899,139.65,1,36
2016-03-01,GGOEAKDH019899,175.56,0,0
2016-03-01,GGOEAKDH019899,15.96,0,0
2016-03-01,GGOEAKDH019899,79.8,2,19
2016-03-01,GGOEGAAB010514,16.99,7,18
2016-03-01,GGOEGAAB010514,33.98,2,75
2016-03-01,GGOEGAAB010514,118.93,0,0
2016-03-01,GGOEGAAB010514,13.59,2,3
2016-03-01,GGOEGAAB010514,169.9,0,0
2016-03-01,GGOEGAAB010514,27.18,0,0
2016-03-01,GGOEGAAB010514,50.97,0,0
2016-03-01,GGOEGAAB010514,424.75,2,186
2016-03-01,GGOEGAAH034014,18.99,0,0
2016-03-01,GGOEGAAH034014,37.98,1,2
2016-03-01,GGOEGAAH034014,15.19,0,0
2016-03-01,GGOEGAAJ032316,15.19,2,9
2016-03-01,GGOEGAAJ032316,37.98,0,0
2016-03-01,GGOEGAAJ073414,18.99,0,0
2016-03-01,GGOEGAAJ073414,15.19,2,6
2016-03-01,GGOEGAAJ073414,455.76,1,30
2016-03-01,GGOEGAAJ080615,15.99,14,17
2016-03-01,GGOEGAAJ080615,19.99,0,0
2016-03-01,GGOEGAAJ080615,99.95,2,6
2016-03-01,GGOEGAAJ080616,15.99,1,7
2016-03-01,GGOEGAAJ080616,31.98,1,4
2016-03-01,GGOEGAAJ080616,99.95,2,5
2016-03-01,GGOEGAAJ080616,19.99,0,0
2016-03-01,GGOEGAAL010614,16.99,9,10
2016-03-01,GGOEGAAL010614,13.59,2,12
2016-03-01,GGOEGAAL010614,33.98,2,3
2016-03-01,GGOEGAAL010615,13.59,0,0
2016-03-01,GGOEGAAL010615,16.99,1,10
2016-03-01,GGOEGAAL010615,33.98,0,0
2016-03-01,GGOEGAAL010615,27.18,1,1
2016-03-01,GGOEGAAL010615,50.97,1,14
2016-03-01,GGOEGAAL059015,17.59,7,9
2016-03-01,GGOEGAAL059015,21.99,4,4
2016-03-01,GGOEGAAQ010413,16.99,12,16
2016-03-01,GGOEGAAQ010413,254.85,0,0
2016-03-01,GGOEGAAQ010413,271.84,1,17
2016-03-01,GGOEGAAQ010413,135.9,1,13
2016-03-01,GGOEGAAQ010413,13.59,5,5
2016-03-01,GGOEGAAQ010413,27.18,4,4
2016-03-01,GGOEGAAQ010414,16.99,12,28
2016-03-01,GGOEGAAQ010414,33.98,0,0
2016-03-01,GGOEGAAQ010414,67.95,3,26
2016-03-01,GGOEGAAQ010414,13.59,0,0
2016-03-01,GGOEGAAQ010414,135.9,2,13
2016-03-01,GGOEGAAR010714,16.99,5,8
2016-03-01,GGOEGAAR010714,13.59,0,0
2016-03-01,GGOEGAAR010714,81.54,1,1
2016-03-01,GGOEGAAR010714,95.13,2,8
2016-03-01,GGOEGADB056616,92.99,1,1
2016-03-01,GGOEGADB056616,846.17,0,0
2016-03-01,GGOEGADB056616,52.07,6,6
2016-03-01,GGOEGADB056616,65.09,3,4
2016-03-01,GGOEGADB056715,79.19,0,0
2016-03-01,GGOEGADB057316,59.99,2,2
2016-03-01,GGOEGADB059614,59.99,2,8
2016-03-01,GGOEGADB059614,74.99,3,5
2016-03-01,GGOEGADJ056814,87.99,0,0
2016-03-01,GGOEGADJ056814,76.99,4,16
2016-03-01,GGOEGADJ056814,1.539,1,25
2016-03-01,GGOEGADJ056814,2.078,1,17
2016-03-01,GGOEGADJ056814,61.59,5,7
2016-03-01,GGOEGAEA030414,15.99,0,0
2016-03-01,GGOEGAEA030415,15.99,1,2
2016-03-01,GGOEGAEJ031313,31.99,2,6
2016-03-01,GGOEGAEQ027913,16.99,13,21
2016-03-01,GGOEGAEQ027913,611.64,1,31
2016-03-01,GGOEGAEQ027913,67.95,0,0
2016-03-01,GGOEGAEQ027913,13.59,0,0
2016-03-01,GGOEGAEQ027913,33.98,0,0
2016-03-01,GGOEGAEQ027915,16.99,5,6
2016-03-01,GGOEGAEQ027915,611.64,1,29
2016-03-01,GGOEGAEQ027915,13.59,7,7
2016-03-01,GGOEGAEQ027915,108.72,1,13
2016-03-01,GGOEGAEQ027916,16.99,0,0
2016-03-01,GGOEGAEQ027916,33.98,2,2
2016-03-01,GGOEGAEQ027916,13.59,3,4
2016-03-01,GGOEGAEQ027916,679.6,2,233
2016-03-01,GGOEGAER029715,15.19,1,1
2016-03-01,GGOEGAER033216,24.99,0,0
2016-03-01,GGOEGAFB035813,55.99,0,0
2016-03-01,GGOEGAFB035813,44.79,0,0
2016-03-01,GGOEGAFB035814,44.79,7,13
2016-03-01,GGOEGAFB035814,111.98,2,3
2016-03-01,GGOEGAFB035814,55.99,3,7
2016-03-01,GGOEGAFB035814,89.58,1,4
2016-03-01,GGOEGAFB035814,134.37,1,10
2016-03-01,GGOEGAFB035815,44.79,9,10
2016-03-01,GGOEGAFB035815,167.97,0,0
2016-03-01,GGOEGAFB035815,55.99,6,9
