year_month,product_id,product_price,present_user_cnt,present_total_qty
2016-03-01,GGOEAAQB036114,44.79,0,0
2016-03-01,GGOEAAWC061653,19.19,0,0
2016-03-01,GGOEAAWH061553,19.19,0,0
2016-03-01,GGOEAAWT061753,23.99,0,0
2016-03-01,GGOEAAWT061753,19.19,0,0
2016-03-01,GGOEAAYC068756,15.19,2,2
2016-03-01,GGOEAAYC068756,18.99,2,4
2016-03-01,GGOEADHH055999,2.39,5,57
2016-03-01,GGOEADHH055999,2.99,7,108
2016-03-01,GGOEAHPJ074410,10.99,4,67
2016-03-01,GGOEAHPJ074410,8.79,1,1
2016-03-01,GGOEAKDH019899,3.19,12,54
2016-03-01,GGOEAKDH019899,3.99,17,154
2016-03-01,GGOEGAAJ032316,15.19,5,6
2016-03-01,GGOEGAAJ032316,18.99,0,0
2016-03-01,GGOEGAAJ073414,18.99,0,0
2016-03-01,GGOEGAAJ073414,15.19,0,0
2016-03-01,GGOEGAAJ080616,15.99,0,0
2016-03-01,GGOEGAAJ080616,19.99,0,0
2016-03-01,GGOEGAAL010615,13.59,8,8
2016-03-01,GGOEGAAL010615,16.99,8,16
2016-03-01,GGOEGAAL059015,17.59,1,5
2016-03-01,GGOEGAAL059015,21.99,0,0
2016-03-01,GGOEGAAQ010414,16.99,7,12
2016-03-01,GGOEGAAQ010414,13.59,3,20
2016-03-01,GGOEGAAR010714,16.99,3,4
2016-03-01,GGOEGAAR010714,13.59,3,10
2016-03-01,GGOEGADB056616,92.99,0,0
2016-03-01,GGOEGADB056616,65.09,0,0
2016-03-01,GGOEGADB056616,52.07,1,1
2016-03-01,GGOEGADB057316,59.99,0,0
2016-03-01,GGOEGADB059614,59.99,3,3
2016-03-01,GGOEGADB059614,74.99,0,0
2016-03-01,GGOEGAEA030415,15.99,0,0
2016-03-01,GGOEGAEJ031313,31.99,0,0
2016-03-01,GGOEGAEQ027913,16.99,0,0
2016-03-01,GGOEGAEQ027913,13.59,3,5
2016-03-01,GGOEGAEQ027916,16.99,0,0
2016-03-01,GGOEGAEQ027916,13.59,0,0
2016-03-01,GGOEGAER029715,15.19,0,0
2016-03-01,GGOEGAER033216,24.99,1,3
2016-03-01,GGOEGAFB035813,55.99,1,2
2016-03-01,GGOEGAFB035813,44.79,2,2
2016-03-01,GGOEGAFB035815,44.79,4,6
2016-03-01,GGOEGAFB035815,55.99,1,1
2016-03-01,GGOEGALB034115,18.99,0,0
2016-03-01,GGOEGALJ036415,23.99,0,0
2016-03-01,GGOEGALJ073317,18.99,0,0
2016-03-01,GGOEGALP036314,19.19,2,2
2016-03-01,GGOEGALQ034214,18.99,5,8
2016-03-01,GGOEGALQ034214,15.19,1,1
