year_month,product_id,product_category,product_price,present_user_cnt,present_total_qty
2016-03,GGOEAAQB036114,Apparel,44.79,0,0
2016-03,GGOEAAWC061653,Apparel,19.19,2,2
2016-03,GGOEAAWH061553,Apparel,57.57,0,0
2016-03,GGOEAAWH061553,Apparel,19.19,0,0
2016-03,GGOEAAWT061753,Apparel,23.99,1,3
2016-03,GGOEAAWT061753,Apparel,19.19,0,0
2016-03,GGOEAAYC068756,Apparel,15.19,2,4
2016-03,GGOEAAYC068756,Apparel,18.99,2,7
2016-03,GGOEADHB014799,Drinkware,12.99,5,12
2016-03,GGOEADHB014799,Drinkware,103.92,0,0
2016-03,GGOEADHB014799,Drinkware,31.17,0,0
2016-03,GGOEADHB014799,Drinkware,10.39,6,8
2016-03,GGOEADHB014799,Drinkware,220.83,0,0
2016-03,GGOEADHB014799,Drinkware,259.8,0,0
2016-03,GGOEADHH055999,Drinkware,11.96,1,1
2016-03,GGOEADHH055999,Drinkware,59.75,2,19
2016-03,GGOEADHH055999,Drinkware,47.8,1,59
2016-03,GGOEADHH055999,Drinkware,2.99,4,8
2016-03,GGOEADHH055999,Drinkware,5.98,1,7
2016-03,GGOEADHH055999,Drinkware,2.39,0,0
2016-03,GGOEADHH055999,Drinkware,4.78,3,6
2016-03,GGOEADHH055999,Drinkware,29.9,0,0
2016-03,GGOEADHH055999,Drinkware,89.7,4,89
2016-03,GGOEADHH055999,Drinkware,59.8,0,0
2016-03,GGOEADHH055999,Drinkware,44.85,0,0
2016-03,GGOEADHH073999,Drinkware,91.14,0,0
2016-03,GGOEADHH073999,Drinkware,15.19,6,10
2016-03,GGOEADHH073999,Drinkware,18.99,1,3
2016-03,GGOEADHH073999,Drinkware,30.38,2,6
2016-03,GGOEAFKQ020499,Office,1.99,2,5
2016-03,GGOEAFKQ020499,Office,3.18,3,8
2016-03,GGOEAFKQ020499,Office,1.59,0,0
2016-03,GGOEAFKQ020499,Office,3.98,0,0
2016-03,GGOEAFKQ020499,Office,7.95,0,0
2016-03,GGOEAFKQ020499,Office,15.9,2,20
2016-03,GGOEAFKQ020499,Office,47.7,0,0
2016-03,GGOEAFKQ020499,Office,99.5,0,0
2016-03,GGOEAFKQ020499,Office,11.13,2,8
2016-03,GGOEAFKQ020499,Office,13.93,2,10
2016-03,GGOEAFKQ020499,Office,31.8,0,0
2016-03,GGOEAFKQ020499,Office,69.65,2,33
2016-03,GGOEAFKQ020499,Office,95.4,2,73
2016-03,GGOEAHPJ074410,Headgear,10.99,0,0
2016-03,GGOEAHPJ074410,Headgear,8.79,0,0
2016-03,GGOEAHPJ074410,Headgear,285.74,0,0
2016-03,GGOEAHPJ074410,Headgear,329.7,0,0
2016-03,GGOEAHPJ074410,Headgear,571.48,2,95
2016-03,GGOEAKDH019899,Lifestyle,3.19,5,17
2016-03,GGOEAKDH019899,Lifestyle,199.5,1,41
2016-03,GGOEAKDH019899,Lifestyle,3.99,19,32
2016-03,GGOEAKDH019899,Lifestyle,31.9,0,0
2016-03,GGOEAKDH019899,Lifestyle,11.97,2,13
2016-03,GGOEAKDH019899,Lifestyle,39.9,2,32
2016-03,GGOEAKDH019899,Lifestyle,7.98,0,0
2016-03,GGOEAKDH019899,Lifestyle,47.85,3,44
2016-03,GGOEAKDH019899,Lifestyle,15.95,0,0
2016-03,GGOEAKDH019899,Lifestyle,139.65,1,36
2016-03,GGOEAKDH019899,Lifestyle,175.56,0,0
2016-03,GGOEAKDH019899,Lifestyle,15.96,0,0
2016-03,GGOEAKDH019899,Lifestyle,79.8,2,19
2016-03,GGOEGAAB010514,Apparel,16.99,7,18
2016-03,GGOEGAAB010514,Apparel,33.98,2,75
2016-03,GGOEGAAB010514,Apparel,118.93,0,0
2016-03,GGOEGAAB010514,Apparel,13.59,2,3
2016-03,GGOEGAAB010514,Apparel,169.9,0,0
